,0
1249,Lorenza Izzo
1250,Ferdia Walsh-Peelo
1251,Scottie Thompson
1252,Hedy Lamarr
1253,Sonny Chiba
1254,Dabney Coleman
1255,Elliott Gould
1256,Ed Speleers
1257,Buster Keaton
1258,Gordon Warnecke
1259,Lyndsy Fonseca
1260,Jason Ian Drucker
1261,Ossie Davis
1262,Terence Stamp
1263,Donald Sutherland
1264,Roshan Seth
1265,Scott Eastwood
1266,James Franciscus
1267,Sam Elliott
1268,Olivia DeJonge
1269,Adam Butcher
1270,Richard Crenna
1271,Rex Harrison
1272,Barrie Ingham
1273,Armin Mueller-Stahl
1274,Ron Burrage
1275,Karen Black
1276,Cyril Raffaelli
1277,Samantha Ferris
1278,Donald Faison
1279,Jamie Kennedy
1280,Ashley Judd
1281,Kiefer Sutherland
1282,Melissa Joan Hart
1283,Kuei Ya-Lei
1284,Roger Moore
1285,"""Ed ONeill"""
1286,Alfred Abel
1287,Vladimir Turchinsky
1288,Griffin Dunne
1289,Rose Leslie
1290,"""Aulii Cravalho"""
1291,Yanina Zhejmo
1292,Diane Ladd
1293,Mark Dacascos
1294,Craig Ferguson
1295,Steve Whitmire
1296,Sean Gullette
1297,Mathieu Amalric
1298,Seann William Scott
1299,Victor Mature
1300,Manuela Velasco
1301,Dean Russell
1302,Elena An
1303,Anna Kendrick
1304,Randeep Hooda
1305,Keke Palmer
1306,Liam James
1307,Ellar Coltrane
1308,Armand Assante
1309,Josh Stewart
1310,John Heard
1311,Carol Kane
1312,Ray Wise
1313,Denise Aron-Schropfer
1314,Spencer Klein
1315,Paul Rudd
1316,David Bowie
1317,Edward Furlong
1318,Liam Neeson
1319,Hamish Linklater
1320,George Kennedy
1321,Kad Merad
1322,Gordon Jones
1323,John Payne
1324,James Lorinz
1325,Emmanuelle Vaugier
1326,Simone Spoladore
1327,Charis Michelsen
1328,Andrew Jacobs
1329,Stephen Boyd
1330,Julia Ormond
1331,Jean Simmons
1332,Elijah Wood
1333,Minna HaapkylÌ_
1334,Milla Jovovich
1335,Marie Avgeropoulos
1336,Brigitte Bardot
1337,Jim Broadbent
1338,Thomas Mann
1339,Innokentiy Smoktunovskiy
1340,James Remar
1341,Ryan Merriman
1342,Adrienne Barbeau
1343,Diana Ross
1344,Franco Nero
1345,Audrey Hepburn
1346,Barry Bostwick
1347,Annabella Sciorra
1348,Samuel Le Bihan
1349,Art Parkinson
1350,Sean Patrick Flanery
1351,Sam J. Jones
1352,Ilona Massey
1353,Peter FranzÌ©n
1354,George Lazenby
1355,Aditya Roy Kapoor
1356,T.I.
1357,Daniel Radcliffe
1358,Iko Uwais
1359,Channing Tatum
1360,Pernilla August
1361,Robert Duvall
1362,William Feng
1363,Chris Tucker
1364,Martin Lawrence
1365,Josh Lucas
1366,Patrick Timsit
1367,Rossano Brazzi
1368,Barbara Harris
1369,Tobin Bell
1370,Pulkit Jawahar
1371,BenoÌ¨t Magimel
1372,GermÌÁn Alcarazu
1373,Sergio Rubini
1374,Jeanne Tripplehorn
1375,George Bancroft
1376,Stewart Granger
1377,Sean Connery
1378,Anthony Edwards
1379,Dominique Swain
1380,Doris Svedlund
1381,Sandy Duncan
1382,Thomas Turgoose
1383,Romane Bohringer
1384,Sarah Drew
1385,Thomas F. Duffy
1386,Stepan Shkurat
1387,Ritesh Deshmukh
1388,Ken Wahl
1389,Tami Erin
1390,Isla Fisher
1391,Jason Lee
1392,Dermot Mulroney
1393,James Badge Dale
1394,Dinesh Ravi
1395,John Taylor
1396,Ranveer Singh
1397,Adam Carolla
1398,Mark Strong
1399,Parvathy Thiruvothu
1400,Dominique Pinon
1401,Nikolaj Lie Kaas
1402,Jay Mohr
1403,Michael Gambon
1404,Louis Hayward
1405,Jeff Daniels
1406,Judd Nelson
1407,Georgia Groome
1408,Brendan Fraser
1409,Mary Elizabeth Mastrantonio
1410,Zoe Lister-Jones
1411,Lacey Chabert
1412,America Ferrera
1413,Cyndi Williams
1414,Kim Cattrall
1415,Noah Schnapp
1416,Klaus Kinski
1417,Jason Trost
1418,Martin Freeman
1419,John Jarratt
1420,Brenton Thwaites
1421,Maria Molins
1422,Ansel Elgort
1423,Mark Webber
1424,Wasabi Mizuta
1425,Sheryl Lee
1426,Megan Faccio
1427,Anya Taylor-Joy
1428,Jesper Christensen
1429,Maxwell Caulfield
1430,Donald Pleasence
1431,Peter Fonda
1432,Zoe Saldana
1433,Ron Fazio
1434,Cathy Cavadini
1435,Molly Ringwald
1436,Richard Gere
1437,Lou Diamond Phillips
1438,Carl Weathers
1439,Kristoffer Joner
1440,Jack Palance
1441,Steve Harvey
1442,Christopher Abbott
1443,Jean Arthur
1444,Erin Evans
1445,Mae Murray
1446,Ben Whishaw
1447,Cyril Ritchard
1448,Nigel Terry
1449,Marina Zudina
1450,Kay Panabaker
1451,Jeffrey Hunter
1452,Domhnall Gleeson
1453,Miguel Ferrer
1454,Alfred Molina
1455,Diego Abatantuono
1456,Diogo Morgado
1457,Helen Mirren
1458,Anna Nicole Smith
1459,Michael C. Williams
1460,Carmelo GÌ_mez
1461,Jasmine Trinca
1462,Joe Cocker
1463,Paul McGann
1464,Marla Sokoloff
1465,Ellen Page
1466,"""MoNique"""
1467,Eyal Kitzis
1468,Marina Neyolova
1469,Nicole Kidman
1470,Morgan Saylor
1471,Ashley Greene
1472,Devon Sawa
1473,Samantha Morton
1474,Dudley Moore
1475,Fred MacMurray
1476,Billy Zane
1477,Richard Thomas
1478,Shia LaBeouf
1479,Linus Roache
1480,Dennis Alwood
1481,Jessica Biel
1482,Per Christian Ellefsen
1483,Richard Egan
1484,Nicole Abisinio
1485,Tom Arnold
1486,_ahan GÌ¦kbakar
1487,Vik Muniz
1488,Gina Carano
1489,John G. Brennan
1490,Melissa Leo
1491,Masey McLain
1492,Hiroki Hasegawa
1493,Nawazuddin Siddiqui
1494,Julia Dietze
1495,Annika Marks
1496,Alexis Bledel
1497,Greta Garbo
1498,Sterling Holloway
1499,Stanisâaw Brudny
1500,Ann-Margret
1501,Jordana Beatty
1502,Tyrin Turner
1503,Whitney Able
1504,Tippi Hedren
1505,Michael Pollan
1506,Caitlin Stasey
1507,Moni Moshonov
1508,Tye Sheridan
1509,Angela Tucker
1510,Tony Leung Chiu-Wai
1511,AÌøssa MaÌøga
1512,Mary Pickford
1513,Patrick Bergin
1514,Neve Campbell
1515,Jim Henson
1516,Rob Schneider
1517,Koen De Bouw
1518,Mike Epps
1519,Monica Potter
1520,George Segal
1521,Tony Jaa
1522,Sheila Vand
1523,Whitney Houston
1524,Amber Valletta
1525,Regina CasÌ©
1526,Adrian Pang
1527,Ad van Kempen
1528,Michael J. Fox
1529,Emma Stone
1530,Allan Sherman
1531,Meryl Streep
1532,Carrie-Anne Moss
1533,Jeremy Theobald
1534,Shirley Temple
1535,Matthew Broderick
1536,Seth Green
1537,Nathaniel Brown
1538,Tracy Camilla Johns
1539,David Duchovny
1540,Betty Hutton
1541,Maccio Capatonda
1542,Tom McGrath
1543,Claire Danes
1544,Scott MacDonald
1545,Lizzy Caplan
1546,Shah Rukh Khan
1547,Jason Scott Lee
1548,Blanchard Ryan
1549,Silvia Seidel
1550,Jean Marais
1551,Ed Skrein
1552,Richard Dreyfuss
1553,AndrÌ© Benjamin
1554,Jack Lemmon
1555,Christophe Malavoy
1556,Nilbio Torres
1557,Ali Suliman
1558,Glenn Close
1559,William Prince
1560,Steve Buscemi
1561,Jordana Brewster
1562,Eduardo Noriega
1563,Gregory Harrison
1564,Steven Strait
1565,AJ Michalka
1566,Nicholas Hoult
1567,Sarah Cohen-Hadria
1568,Marc Donato
1569,John Abraham
1570,Mick Foley
1571,Jessica Walter
1572,Adam Sandler
1573,Tannishtha Chatterjee
1574,Kris Kristofferson
1575,Leonid Yarmolnik
1576,Chris Klein
1577,Garret Dillahunt
1578,Georges MÌ©liÌ¬s
1579,Oliver Masucci
1580,Anthony Michael Hall
1581,Michael Carbonaro
1582,Embeth Davidtz
1583,Y±lmaz ErdoÙan
1584,Max Thieriot
1585,Alexandra Meierhans
1586,Zero Mostel
1587,David Morse
1588,William Powell
1589,Kathryn McCormick
1590,Clovis Cornillac
1591,Felicia Pearson
1592,Adam Driver
1593,Alain Chabat
1594,Bill Paxton
1595,Ekaterina Vilkova
1596,Abhishek Bachchan
1597,Gael GarcÌ_a Bernal
1598,Mary Fuller
1599,Emily Bergl
1600,Danny Kaye
1601,Joseph Kaiser
1602,Sergey Gorobchenko
1603,Phil Harris
1604,Mariya Aronova
1605,Patton Oswalt
1606,David Attenborough
1607,Andreas Lust
1608,Kit Harington
1609,Paul Bettany
1610,Steve Agee
1611,Desmond Harrington
1612,Lee Evans
1613,Patrick J. Adams
1614,Victor McLaglen
1615,Kim Basinger
1616,Ben Affleck
1617,Annette Bening
1618,Frankie Muniz
1619,Christine Cavanaugh
1620,Layla Olwy
1621,Jim Dine
1622,Deepika Padukone
1623,Angelica Lee
1624,Brie Larson
1625,Farhan Akhtar
1626,Leonor Watling
1627,Angela Redman
1628,Christopher George
1629,Mariel Hemingway
1630,Philip Baker Hall
1631,Carter Jenkins
1632,Emily Browning
1633,Jason Segel
1634,Pat Boone
1635,Freida Pinto
1636,Asia Argento
1637,Claire Holt
1638,Scott Glenn
1639,Myles Berkowitz
1640,Shane Dawson
1641,Cyrielle Clair
1642,LL Cool J
1643,Stephen Chow
1644,Rachel Dratch
1645,Jean Reno
1646,Jon Heder
1647,Helena BergstrÌ¦m
1648,"""Chris ODonnell"""
1649,Woody Harrelson
1650,June Allyson
1651,Dirk Bogarde
1652,Valerie Red-Horse
1653,Omar Epps
1654,Luke Kirby
1655,Paul Ben-Victor
1656,Alev UÌ¤arer
1657,William Kerwin
1658,Stanley Baker
1659,Al Pacino
1660,Jonah Bobo
1661,Craig Bierko
1662,Paget Brewster
1663,Kevin Costner
1664,John Krasinski
1665,Gila Almagor
1666,Roselyn SÌÁnchez
1667,Deborra-Lee Furness
1668,Sumi Shimamoto
1669,Otto Jespersen
1670,Renee Leblanc
1671,John Mellencamp
1672,Lance Bass
1673,Dwayne Johnson
1674,Ha Jung-woo
1675,Zuhab Khan
1676,Stephen Moyer
1677,Nikki Reed
1678,Carlo Cecchi
1679,Gina Lollobrigida
1680,Harriet Owen
1681,D. David Morin
1682,Gloria Jean
1683,Larry David
1684,Haley Bennett
1685,Taraji P. Henson
1686,"""Dinesh DSouza"""
1687,Frank Whaley
1688,Paul Stevens
1689,Dane Cook
1690,Shiney Ahuja
1691,Sonu Sood
1692,Tom Laughlin
1693,Jamel Debbouze
1694,Spike Lee
1695,Chyler Leigh
1696,Giuseppe Andrews
1697,Sullivan Stapleton
1698,Jeffrey Chyau
1699,"""Brian OHalloran"""
1700,Brenda Vaccaro
1701,Amy Brenneman
1702,Hilary Swank
1703,Ryan Gosling
1704,Ingrid Bergman
1705,Vyacheslav Krikunov
1706,Jami Gertz
1707,AdÌ¬le Exarchopoulos
1708,Joyce Taylor
1709,RenÌ©e Zellweger
1710,Heath Ledger
1711,Lainie Kazan
1712,Jason Biggs
1713,Jay Chandrasekhar
1714,Leslie Nielsen
1715,Ryan Cartwright
1716,Ronald Colman
1717,Oksana Akinshina
1718,Lukas Haas
1719,"""Wilbur Hi-Fi White"""
1720,Lloyd Bridges
1721,Aleksey Chadov
1722,Sam Worthington
1723,Linda de Mol
1724,Carlo Ferrante
1725,Anthony Hopkins
1726,Brenda Myers-Powell
1727,Danny Aiello
1728,LisaRaye McCoy
1729,Fredric March
1730,Kevin Dillon
1731,Chen Kun
1732,Hal Holbrook
1733,Julia Roberts
1734,Tom Cavanagh
1735,"""Emily Roya OBrien"""
1736,Peter Ustinov
1737,Howard Stern
1738,Dianna Agron
1739,Mats ÌÉhlfeldt
1740,Ross Partridge
1741,John Goodman
1742,Madhavan
1743,Steve Sandvoss
1744,Robin Shou
1745,Jesse Bradford
1746,Sridevi Kapoor
1747,Paige Turco
1748,Lily Tomlin
1749,Sudeep
1750,Dev Patel
1751,Janeane Garofalo
1752,John Candy
1753,Edward Burns
1754,Guy Pearce
1755,Heikki Silvennoinen
1756,Willem Dafoe
1757,Corinna Harfouch
1758,Felicity Mason
1759,Ian Holm
1760,Angus Macfadyen
1761,Kal Penn
1762,Tar±k Akan
1763,Priyanka Chopra
1764,Mark Addy
1765,Aziz Naser
1766,Andrew McCarthy
1767,Monica Engesser
1768,Natalie Wood
1769,Klaus Maria Brandauer
1770,Santiago Segura
1771,Teo Halm
1772,Jean-Pierre Darroussin
1773,Harry Connick Jr.
1774,Columbus Short
1775,Red Skelton
1776,Nick P. Ross
1777,BÌÁrbara Lombardo
1778,Michael Madsen
1779,Graham Chapman
1780,Jon Hamm
1781,David Hewlett
1782,Helen Hayes
1783,James Cagney
1784,Siddhi Mahajankatti
1785,Ben Foster
1786,John Huston
1787,Janet Jackson
1788,Nigel Havers
1789,Leonardo DiCaprio
1790,Macaulay Culkin
1791,James Caan
1792,Obba BabatundÌ©
1793,Rain
1794,Clara Bow
1795,Emile Hirsch
1796,Tim Ogletree
1797,Matthew Modine
1798,Bobby Driscoll
1799,Rosario Dawson
1800,Asta Nielsen
1801,Ronnie Barker
1802,Cindy Baer
1803,Kodi Smit-McPhee
1804,Ethan Hawke
1805,Giuliano Gemma
1806,Cassandra Delaney
1807,Rowan Atkinson
1808,Timothy Olyphant
1809,Bobcat Goldthwait
1810,Minka Kelly
1811,Noomi Rapace
1812,Coluche
1813,John Wayne
1814,Lauren German
1815,Sylvia Sidney
1816,Sebastian Cabot
1817,Pernille Vallentin
1818,Russell Crowe
1819,Michelle Pfeiffer
1820,Nikolaj Rasmussen
1821,Sam Waterston
1822,Robert Donat
1823,Jason London
1824,GÌ©za RÌ¦hrig
1825,Marc Blucas
1826,H.B. Halicki
1827,Isabelle Adjani
1828,Jim Carrey
1829,Toni Servillo
1830,Vittorio Gassman
1831,MarÌ_a Mercedes Coroy
1832,Penelope Ann Miller
1833,Emma Watson
1834,Robin Weigert
1835,Kenny Wormald
1836,Rooney Mara
1837,Aaron Abrams
1838,Walter Quiroz
1839,Evan Glodell
1840,James Wilby
1841,Julia Stiles
1842,RÌ©my Girard
1843,Daniel Schlachet
1844,Britney Spears
1845,Leo Minaya
1846,Ai Kobayashi
1847,Alberto Sordi
1848,Benicio del Toro
1849,James Nesbitt
1850,Franca Mai
1851,Bel Powley
1852,Napoleon Ryan
1853,Craig Conway
1854,BjÌ¦rk
1855,Tina Fey
1856,Sarah Butler
1857,Ray Winstone
1858,Bruce Ramsay
1859,Bruno Ganz
1860,Chiara Mastroianni
1861,Ali Zafar
1862,Jeremy Sumpter
1863,Cathy Rigby
1864,Stacy Valentine
1865,Jacob Tierney
1866,Oleg Kulikovich
1867,Rick Moranis
1868,Suriya 
1869,Martijn Lakemeier
1870,Bill Hader
1871,Nia Long
1872,Carmen Maura
1873,Bob Newhart
1874,Ryan Reynolds
1875,Irene Bedard
1876,Billy Bob Thornton
1877,Richard Roundtree
1878,Sean Hayes
1879,Abhay Deol
1880,Sam Neill
1881,Peter Mullan
1882,Laura Dern
1883,Pamela Gidley
1884,Samantha King
1885,Royalty Hightower
1886,Sandy Dennis
1887,James Cromwell
1888,Tadanobu Asano
1889,Jennifer Love Hewitt
1890,Blythe Auffarth
1891,Haley Joel Osment
1892,Nivin Pauly
1893,Tiger Shroff
1894,Sean Bean
1895,Mitch Gaylord
1896,Deborah Harry
1897,Scott Adsit
1898,Peter Cook
1899,Dina Meyer
1900,Mickey Rourke
1901,Dakota Johnson
1902,Joe Dallesandro
1903,Val Kilmer
1904,Toshiaki Karasawa
1905,Natalie Dormer
1906,JÌ_rgen Vogel
1907,Jackie Chan
1908,Alexander Siddig
1909,Patricia Arquette
1910,Hayden Panettiere
1911,Michael Bonsignore
1912,Lennie Loftin
1913,Richard E. Grant
1914,Hulk Hogan
1915,Teodor Corban
1916,Vildan Atasever
1917,Tupac Amaru Shakur
1918,Van Williams
1919,Robert Carlyle
1920,Eric Bana
1921,Alycia Debnam-Carey
1922,Jason Ritter
1923,John Cho
1924,Bruno Corazzari
1925,Kristen Wiig
1926,Joe Pesci
1927,Cynthia Nixon
1928,Laura Linney
1929,Matt Dillon
1930,Jack Huston
1931,Brenda Blethyn
1932,James Frecheville
1933,Jon Gries
1934,Andrei Panin
1935,Victor Wong
1936,Sigourney Weaver
1937,Courtney B. Vance
1938,Gregory Hines
1939,Judith Hoag
1940,Elio Germano
1941,Clayton Moore
1942,Deborah Kerr
1943,Elizabeth Reaser
1944,Boris Kodjoe
1945,Rod Paradot
1946,Sasha Grey
1947,Jason Sudeikis
1948,Anna Friel
1949,Maggie Smith
1950,Denzel Washington
1951,Helene Costello
1952,Juliette Binoche
1953,Greg Evigan
1954,Trevor Morgan
1955,Cillian Murphy
1956,Hugh Jackman
1957,Oliver Reed
1958,Cher
1959,Dennis Quaid
1960,Kate Beckinsale
1961,John Cleese
1962,Jess Weixler
1963,Simon Rex
1964,Craig T. Nelson
1965,Chris Rock
1966,Megan Fox
1967,Bobby Campo
1968,Jeanne Crain
1969,Greg Speirs
1970,AgustÌ_n Silva
1971,Jung Jae-young
1972,Breckin Meyer
1973,"""Shaquille ONeal"""
1974,Rebecca Hall
1975,Tiffany Dupont
1976,Idris Elba
1977,E.G. Daily
1978,James Arnold Taylor
1979,Roddy McDowall
1980,Vanessa Hessler
1981,Carroll Baker
1982,Jack Holt
1983,Piper Perabo
1984,Jennifer Aniston
1985,Marisa Coughlan
1986,James Marshall
1987,Lee Marvin
1988,Fahadh Faasil
1989,Rebecca De Mornay
1990,Stanislav Boklan
1991,Jake Johnson
1992,Noah Hathaway
1993,Resmine Atis
1994,Hiroyuki Ikeuchi
1995,Nicholas Blandullo
1996,_Ò__Û_«_¡__ ___üà_üÝ
1997,Beau Bridges
1998,Charlotte Henry
1999,Camilla Belle
2000,David Boreanaz
2001,Igor Petrenko
2002,Murray Bartlett
2003,Jason James Richter
2004,Bruce Dern
2005,Brit Morgan
2006,Charles Bronson
2007,William Baldwin
2008,Jordan Ladd
2009,Jennifer Westfeldt
2010,Fionn Whitehead
2011,Takuya Kimura
2012,Cliff DeYoung
2013,May Clark
2014,Hayley Atwell
2015,Samuel L. Jackson
2016,Natalie Alyn Lind
2017,Diane Lane
2018,Michele Riondino
2019,Trevante Rhodes
2020,Alexander Nathan Etel
2021,"""Terry OQuinn"""
2022,Rupert Friend
2023,Bruce Payne
2024,Taylor Schilling
2025,Mark Frechette
2026,Geoffrey Rush
2027,Vincent Desagnat
2028,Kelly Macdonald
2029,Marco Leonardi
2030,Anton Shagin
2031,Andy Warhol
2032,Javier Bardem
2033,Viktor Mikhaylov
2034,BÌ©rÌ©nice Bejo
2035,Adelaide Clemens
2036,Scott Elrod
2037,Ellen Muth
2038,Cloris Leachman
2039,Nargess Mamizadeh
2040,Tom Kenny
2041,Sihung Lung
2042,Alfre Woodard
2043,"""Kieran OBrien"""
2044,Witney Carson
2045,Virginia Madsen
2046,Gabriel Byrne
2047,Bradford Dillman
2048,Sylvester Stallone
2049,Junichi Okada
2050,Michael Cera
2051,Jennifer Lawrence
2052,Baki Davrak
2053,Sergey Garmash
2054,Patrick Wayne
2055,Siddharth
2056,Gordon MacRae
2057,Adam Scott
2058,Madlen Dzhabrailova
2059,Vasily Stepanov
2060,Emily Blunt
2061,Birgitte Hjort SÌürensen
2062,Scott Adkins
2063,Donald Austin
2064,Mitch Cohen
2065,James Marsden
2066,"""Rickey DShon Collins"""
2067,Michael B. Jordan
2068,Lasse Kolsrud
2069,Adrian Rawlins
2070,Ricardo Meneses
2071,Paul Newman
2072,"""Qorianka Kilcher"""
2073,Jason Patric
2074,Judy Marte
2075,Teresa Palmer
2076,Amanda Peet
2077,Thomas Kretschmann
2078,Matthew Goode
2079,Aleksey Filimonov
2080,Espen Edvartsen
2081,Michael Murphy
2082,Erin Fisher
2083,Ron Livingston
2084,Nicole de Boer
2085,Justin Timberlake
2086,Alan Arkin
2087,Norm Macdonald
2088,Jonathan Cherry
2089,Levi Miller
2090,Daryl Sabara
2091,Catherine Deneuve
2092,Judy Garland
2093,Kane Hodder
2094,Joe Morton
2095,Jennifer Rubin
2096,Stephen Baldwin
2097,Raquel Welch
2098,Todd Field
2099,John Savage
2100,"""Brendan OCarroll"""
2101,Lamberto Maggiorani
2102,Jeremy Piven
2103,Ivan Okhlobystin
2104,Raoul Bova
2105,Walter Pidgeon
2106,June Ayers
2107,David Suchet
2108,Nicoletta Braschi
2109,Sergey Shakurov
2110,Rider Strong
2111,MaÌø Anh Le
2112,Jay Brazeau
2113,Frank Rautenbach
2114,Matt Johnson
2115,Louise Grinberg
2116,Presley Chweneyagae
2117,Joe Bishop
2118,Christopher Lloyd
2119,Masako Nozawa
2120,Valerio Mastandrea
2121,Garrett Hedlund
2122,Aaron Stanford
2123,Roman Wilhelmi
2124,William Brent
2125,Ben Silverstone
2126,Talia Zucker
2127,Brooke Shields
2128,Eminem
2129,Agniya Ditkovskite
2130,Ice Cube
2131,Ioan Gruffudd
2132,Zach Cregger
2133,Pat Morita
2134,Stephan James
2135,Carice van Houten
2136,Tommy Lee Jones
2137,Derek Hough
2138,Michael Rapaport
2139,Tony Goldwyn
2140,Ali MacGraw
2141,Haruhiko KatÌ«
2142,Joe Alwyn
2143,Paul Schneider
2144,Shirley MacLaine
2145,Ellen Burstyn
2146,Nancy Allen
2147,Warren Oates
2148,Gary Oldman
2149,Christopher Reid
2150,J. J. Feild
2151,Peter Paul
2152,Keira Knightley
2153,Danny Trejo
2154,Robin Bartlett
2155,Ben Gazzara
2156,Felicity Jones
2157,Ryosuke Watabe
2158,CÌ©cile de France
2159,ChloÌÇ Grace Moretz
2160,Craig Wasson
2161,Chris Sarandon
2162,Yul Brynner
2163,Keri Russell
2164,DÌ©sirÌ©e Nosbusch
2165,Ajith Kumar
2166,Ed Helms
2167,Mick Partridge
2168,Alexander SkarsgÌ´rd
2169,PenÌ©lope Cruz
2170,Jimmy Shergill
2171,Mohanlal
2172,Eli Marienthal
2173,Casper Van Dien
2174,Paul Kaye
2175,James Earl Jones
2176,Ken Takakura
2177,Melissa McCarthy
2178,Kate McNeil
2179,Michael Rennie
2180,Ricky Schroder
2181,Jim Caviezel
2182,Gene Kelly
2183,Piolo Pascual
2184,Mary Costa
2185,Pierce Brosnan
2186,Garance Marillier
2187,"""Dylan OBrien"""
2188,Rumer Willis
2189,Patrick Swayze
2190,Holly Hunter
2191,Christopher Reeve
2192,Richard Johnson
2193,Kevin Gage
2194,Jason Schwartzman
2195,Leonid Barats
2196,Chief Thundercloud
2197,Gene Tierney
2198,Dacre Montgomery
2199,Catherine Hicks
2200,Method Man
2201,Paula Patton
2202,David Emge
2203,Gary Busey
2204,Felicity Huffman
2205,Simon Chuckster
2206,David Dastmalchian
2207,Yang Ik-june
2208,Kristen Stewart
2209,Alec Baldwin
2210,Will Forte
2211,Anne-Marie Loop
2212,Harman Baweja
2213,Kinga Preis
2214,James Purefoy
2215,Tom Atkins
2216,Paul Gross
2217,Li Yu-Chun
2218,Eddie Garcia
2219,Pat OÛªBrien
2220,Jenna Dewan
2221,David Fandila
2222,Emily Deschanel
2223,James Karen
2224,Jim Cummings
2225,Shelley Hennig
2226,Tracey Ullman
2227,Jeff Speakman
2228,Priscilla C. Shirer
2229,Eddie Redmayne
2230,Kim Director
2231,Alden Ehrenreich
2232,Sydney Greenstreet
2233,Derek Luke
2234,Anupam Kher
2235,Patrick Macnee
2236,Cassidy Gifford
2237,Anne Dorval
2238,Liam Hemsworth
2239,Bruce Davison
2240,Simon Pegg
2241,Ben Browder
2242,Joel Courtney
2243,Liza Minnelli
2244,Juan JosÌ© Campanella
2245,Diane Kruger
2246,Dorothy Stratten
2247,AilÌ_n Salas
2248,Wang Baoqiang
2249,Christopher Toler
2250,Edie Falco
2251,Peter Cushing
2252,Patricia Tallman
2253,Guillaume Canet
2254,Daniel Wu
2255,James Blackwell
2256,Jurnee Smollett
2257,James Dean
2258,Anthony Anderson
2259,Marcello Mastroianni
2260,Adam Bousdoukos
2261,Tobias Menzies
2262,Tyler Perry
2263,Bai Baihe
2264,"""OShea Jackson Jr."""
2265,Christopher Severio
2266,Ray Romano
2267,Jennifer Lopez
2268,Rachel York
2269,Dylan McDermott
2270,Laura Ramsey
2271,Sergei Astahov
2272,Andy Rodoreda
2273,Michael Legge
2274,Sidney Poitier
2275,Ben Cross
2276,Kerwin Mathews
2277,Maggie Gyllenhaal
2278,Loreto Peralta
2279,Gene Barry
2280,Jeffrey Falcon
2281,Yusuke Iseya
2282,Fernanda Andrade
2283,Charlotte Roche
2284,James Corden
2285,Joey Lawrence
2286,Jodie Foster
2287,Ally Walker
2288,Rhona Mitra
2289,Sam Callis
2290,Lloyd Nolan
2291,Gabriel Damon
2292,Joanna David
2293,Thom Mathews
2294,Shahid Kapoor
2295,Ben Winchell
2296,Parker Stevenson
2297,Song Kang-ho
2298,Tom Felton
2299,Colin Friels
2300,Malin ÌÉkerman
2301,Andrey Muravyov
2302,Alison Elliott
2303,Agata Trzebuchowska
2304,Clint Eastwood
2305,Allison Hayes
2306,Arch Hall Jr.
2307,Zhao Wei
2308,Jake T. Austin
2309,Miles Teller
2310,Richard Pryor
2311,Clive Owen
2312,N!xau
2313,Kseniya Rappoport
2314,Jeff Goldblum
2315,Eli Roth
2316,Marcell Nagy
2317,Barry Pepper
2318,Kathy Bates
2319,Brian Keith Allen
2320,Ari Folman
2321,Charlie Trairat
2322,Dana Carvey
2323,Akira Terao
2324,Kate Bosworth
2325,Elena Lyadova
2326,Dakota Blue Richards
2327,Graciela Borges
2328,Kofi Ghanaba
2329,Elle Fanning
