actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Claudia Galli,33,0,0
Dimitris Horn,10,2,2
Mo Rocca,13,4,4
Gemma Jones,113,6,4
Jason Miller,27,2,1
Katharina Cohen,19,0,0
John Barrett,155,0,0
Eliza Dushku,64,7,0
Kim Richards,55,2,0
Josh Hartnett,46,17,3
Frank González,1,0,0
Akashi Takei,14,0,0
Teng Shen,11,0,0
Nicole Alonso,4,0,0
Peyton List,44,1,1
Tatsuya Yamaguchi,14,0,0
Lars Söderdahl,5,0,0
Sumeet Raghvan,20,2,0
Beatriz Batarda,47,9,10
Michael Emil,16,0,0
Cynthia Stevenson,71,1,2
Michaël Abiteboul,94,0,0
Claudio Undari,47,0,0
Roger Waters,5,4,1
Zsolt Anger,59,2,2
Valentina Lodovini,49,7,6
Sotiria Leonardou,11,1,1
Alan Ford,102,0,0
Khalid Abdalla,20,0,0
Isabelle Corey,16,0,0
Maila Nurmi,20,2,2
Ben Tibber,7,3,3
Emma Bell,39,2,1
Eileen April Boylan,27,1,0
Marc Price,18,1,1
Marisa Mell,68,0,0
Ken Swofford,125,0,0
Im Chang-Jung,26,1,0
Aya Matsuura,10,0,0
John Livingston,46,0,0
Malena Doria,52,1,0
Yuriy Tsurilo,68,3,0
John White,49,0,0
Isis Valverde,15,10,3
Hayato Ichihara,50,1,1
Bruce Chadwick,1,0,0
NIck Pawlow,1,0,0
Ron Barnhart,1,0,0
Žarko Laušević,58,1,1
Cora Miao,23,7,1
Lior Ashkenazi,57,4,6
Charity Farrell,13,1,1
Benjamin Hendrickson,17,9,1
Brian J. White,83,0,0
Wunmi Mosaku,48,3,1
Hilda Borgström,82,0,0
Alberto Laiseca,1,0,0
Peter Benson,134,7,3
Joonas Makkonen,29,2,3
Gabino Rodríguez,46,4,3
Dan Stulbach,32,8,8
Felipe Izquierdo,12,0,0
Robbie Daymond ,184,13,4
Patricia Clarkson,94,37,26
Neil Maskell,101,5,0
David McCullough,2,0,0
Richard Schaal,53,0,0
Mishel Manoku,1,1,1
Susana Pampin,32,2,1
Aida Mohammadkhani,4,0,0
Todd Jensen,65,0,0
Chris Johnson,41,0,0
Noriko Eguchi,94,0,0
Adam Mediano,2,0,0
Vera Zorina,9,0,0
Adrián Lastra,31,1,1
Didier Bourdon,59,3,3
Marina Foïs,70,8,2
Chuck Barris,1,1,1
Paul Johansson,72,1,1
Nico Tarielashvili,2,0,0
Dan Ewing,20,2,0
Paul Carafotes,43,1,1
Martin Buch,45,5,2
Kurt Kuenne,1,2,12
Jorge Lendeborg Jr.,8,0,0
Josef Köstlinger,1,0,0
Kenneth Cranham,182,0,0
Wandjuk Marika,5,0,0
Fiona Gubelmann,68,0,0
Sandra Nováková,43,0,0
Matt O'Leary,46,6,1
Valerio Di Benedetto,14,0,0
Tyne Daly,104,29,16
