actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Keith Coogan,79,6,1
June Allyson,75,3,4
Mae Murray,43,1,1
Dabney Coleman,175,9,6
Tom Tyler,183,0,0
John Mills,132,6,10
Jamie Dornan,25,7,6
Ken Takakura,177,2,19
Casey Affleck,43,53,66
Penélope Cruz,79,106,53
Aïssa Maïga,68,1,4
Jacob Latimore,18,6,0
Eleanor Tomlinson,24,3,0
Jonathan Blow,1,0,0
Clifton Collins Jr,120,11,5
Fahadh Faasil,48,2,5
Thomas Jane,72,8,6
Ryan Carnes,39,0,0
Gabrielle Anwar,58,4,0
Jeffrey Combs,133,5,4
Niklas Ulfvarson,1,0,0
Pat Healy,106,2,6
Bodil Jørgensen,83,15,9
Armand Assante,136,11,9
Napoleon Ryan,57,1,1
Simon Yam,227,18,7
Zhang Ziyi,38,51,46
Joe Pesci,40,14,14
Lily Tomlin,68,72,43
Jessica Tandy,64,17,12
John C. Reilly,102,44,18
Yosuke Eguchi,71,0,0
Nikita Mikhalkov,48,32,35
William Baldwin,79,5,3
Kevin Smith,61,24,14
Steven Bauer,182,5,11
Errol Flynn,65,1,5
Lake Bell,55,13,6
Maria Molins,32,2,1
Arthur Hill,118,0,0
Jessica Walter,155,20,11
Toni Collette,78,55,29
Freida Pinto,22,7,4
M. Emmet Walsh,224,1,2
Terrence Howard,93,55,34
Asa Butterfield,23,17,5
Aileen Quinn,7,3,4
Mia Wasikowska,40,38,6
Grant Bardsley,11,0,0
Kajol,39,11,16
Daveigh Chase,51,3,3
Jessica Biel,47,26,6
Owen Wilson,74,49,15
Raymond Ochoa,48,1,0
Mark Ruffalo,67,113,32
J. J. Feild,47,1,1
Onur Ünsal,16,1,1
Mickey Rourke,85,38,39
Aleksey Filimonov,19,1,1
Konstantin Khabenskiy,62,20,17
Cezary Pazura,90,2,2
Jim Carrey,62,96,48
Shun Oguri,111,0,0
Joel David Moore,87,2,2
Walter Quiroz,1,1,0
Rajinikanth,212,3,19
Melanie Kinnaman,9,0,0
Tony Leung Chiu-Wai,94,24,21
Theresa Russell,63,2,2
Tom Kenny,456,26,13
Chris Messina,58,11,3
Eric Balfour,86,3,1
Francesco Pannofino,71,4,4
Breckin Meyer,77,7,7
Woody Allen,48,213,136
Fiona Glascott,51,2,1
Buster Crabbe,113,2,2
Peter Cook,46,1,1
Lloyd Nolan,160,2,2
Cassidy Gifford,14,0,0
Joe Cross,1,0,0
Philip Baker Hall,178,4,5
Cathy Podewell,13,1,0
Leonid Bichevin,21,3,0
Hugo Weaving,90,29,28
Cliff DeYoung,139,1,0
Kirk Alyn,66,0,0
Richard Armitage,46,11,5
Christine Cavanaugh,89,2,2
James Badge Dale,42,8,2
Chaim Topol,25,7,7
Charlie Sheen,85,24,5
Jeff Daniels,82,41,17
Adam Scott,114,9,2
Cindy Baer,32,3,18
Ken Ogata,98,9,13
Marie Avgeropoulos,27,1,0
Amy Jo Johnson,46,4,6
Omar Sy,65,7,8
Parry Shen,66,0,0
William Daniels,120,11,4
Karolina Antosik,7,0,0
David Duchovny,55,48,13
Béatrice Bonifassi,1,0,0
Chris Evans,52,36,6
Edgar Ramírez,40,15,12
Josh Holloway,27,20,3
Jean Arthur,97,3,3
Jeffrey Falcon,13,0,0
Steve Coogan,118,46,16
Asia Argento,62,14,16
Paul Hogan,14,5,8
Douglas Fairbanks,51,3,3
Yusuke Iseya,52,4,1
Bradley Gregg,42,0,0
Jess Weixler,43,7,2
Harry Guardino,126,3,3
Adam Butcher,42,2,0
Frederick Stafford,17,0,0
Jennifer Aniston,63,78,35
Thom Mathews,39,0,0
Patton Oswalt,195,20,6
Jon Gries,142,4,1
Glen Campbell,12,9,5
Natalie Wood,74,30,11
Jenna Elfman,59,18,4
Josh Lucas,79,4,3
William Prince,154,0,0
Katie Chang,12,0,0
Michel Ray,13,0,0
Virginia Madsen,125,23,28
Kseniya Rappoport,51,17,14
Kim Basinger,56,25,14
Paul Rudd,112,19,8
Zoe Saldana,58,58,15
Bill Griffith,47,0,0
Adrienne Barbeau,143,4,2
Chevy Chase,94,9,11
