actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Christopher Lambert,87,1,1
Ed Skrein,22,2,1
Amanda Bynes,21,19,9
Tami Erin,45,0,0
Liam James,17,8,2
Harley Venton,38,0,0
Jean Reno,99,3,2
Güne_ Nezihe _ensoy,1,0,0
Mirai Shida,61,1,1
William Shatner,238,43,25
Colin Firth,84,56,67
Ruby Barnhill,4,4,0
Diane Keaton,67,55,33
Howard Rollins,28,5,1
Dylan Walsh,62,1,0
Chuck Connors,135,2,2
Matthew Modine,110,10,12
Varun Sandesh,20,0,0
Todd Field,41,42,23
Zoe Lister-Jones,41,2,1
Michael Moore,6,31,47
Jay Hernandez,48,4,0
David Dastmalchian,63,1,11
Anna Faris,50,20,1
John Howard Davies,6,7,1
Chase Masterson,55,2,2
Stephen Baldwin,104,5,3
LL Cool J,48,37,21
John Magaro,36,3,3
Mel Blanc,1,1,1
Emilie de Ravin,25,6,2
Kees van Eyck,1,0,0
Matthew Macfadyen,45,9,5
Leslie Nielsen,248,7,7
Vladimir Ilin,90,3,11
Yuria Nara,1,0,0
Danny Trejo,371,6,3
Eileen Brennan,126,11,3
Marki Bey,12,0,0
Alyson Hannigan,51,17,5
Glenn Ford,109,10,7
Theodór Júlíusson,31,1,4
Cassandra Delaney,8,0,0
Jordan Ladd,55,2,2
George Segal,125,10,5
Tiffany Dupont,41,0,0
Paul Anderson,30,0,0
Brigitte Helm,36,1,1
Kenneth Branagh,67,63,36
Ananda Everingham,36,6,2
Parker Posey,100,13,4
Noah Hathaway,28,4,1
Sergei Astahov,47,0,0
Clancy Brown,274,12,2
Javal Davis,2,0,0
Alex Vincent,14,1,0
Garrett Hedlund,29,6,4
Patrick J. Adams,49,1,0
Jennifer Lawrence,31,176,115
Valerio Mastandrea,98,30,16
Ricardo Darín,88,33,34
Audrey Hepburn,34,40,24
Daniel Jordano,19,0,0
Matthias Schoenaerts,58,13,16
Richard Thomas,114,5,3
Phillip Glasser,35,1,1
Van Williams,46,0,0
Arch Hall Jr.,8,0,0
Michael Pollan,115,6,1
Dominique Pinon,168,3,5
Hallee Hirsh,59,5,2
Barbara Sarafian,52,1,3
Zdena Studénková,55,0,0
Trey Parker,28,24,21
Beyoncé Knowles,112,153,68
Everett McGill,28,2,0
Kaya Scodelario,23,8,1
Susan Sarandon,153,82,55
Kim Director,36,0,0
Stuart Townsend,36,2,2
Ted Danson,93,57,12
Alex Frost,18,1,1
Helene Costello,101,1,1
Vince Vaughn,67,14,7
Asta Nielsen,79,3,3
Lenore Zann,103,0,0
Kate Capshaw,28,0,0
Henry Cavill,24,12,2
Cathy Rigby,11,0,0
Paul Schneider,35,8,4
Agustín Silva,13,0,0
Christian Bale,52,83,66
Laurence Olivier,86,37,39
Winona Ryder,62,49,21
Liam Neeson,128,40,23
Brigitte Bardot,45,2,2
Jay Baruchel,60,10,4
Raúl Arévalo,62,21,21
Mick Jagger,86,6,9
Vanessa Hessler,12,0,0
Riz Ahmed,37,24,9
Josh Brolin,70,50,12
Ricky Gervais,49,58,25
Helen Gardner,61,0,0
Boris Kodjoe,49,9,0
Benicio del Toro,57,69,48
Fannie Ward,27,0,0
Ai Kobayashi,19,0,0
Jonah Bobo,12,2,0
Oleg Kulikovich,26,0,0
Katy Perry,52,54,19
Betty Hutton,32,2,5
Kate Beckinsale,51,34,9
Lyndsy Fonseca,43,10,2
Corinna Harfouch,104,11,18
Samuel L. Jackson,182,82,38
Chris Klein,43,4,2
Anne Reid,121,8,5
Bernie Mac,38,32,14
Brandon Routh,57,6,6
Andy Rodoreda,31,0,0
Ray Liotta,115,10,9
Dermot Mulroney,113,9,7
Priyanka Chopra,64,27,43
Diane Kruger,47,16,16
Shah Rukh Khan,103,63,75
Shiney Ahuja,21,1,1
David Tennant,121,29,27
Nate Parker,24,16,7
Jami Gertz,49,3,2
"""Paige OHara""",22,2,0
Paget Brewster,86,3,0
Erika Christensen,54,5,4
Chris Sarandon,104,5,1
Kevin Conroy,96,7,6
______ _____,1,0,0
Pernille Vallentin,9,3,4
Jennifer Beals,82,12,8
Adam Beach,92,9,7
Taraji P. Henson,66,66,31
Edith Meeks,8,0,0
Jet Li,51,15,4
Jo Min-soo,8,5,6
Alexandre Rodrigues,19,1,1
"""Josh Skreech Sandoval""",1,0,0
So Ji-sub,24,4,17
Olivia Newton-John,22,7,8
Peter Berg,51,19,5
Jamie Foxx,70,80,48
Akshay Kumar,136,34,16
Mads Ousdal,30,4,1
Anthony Edwards,59,26,15
Queen Latifah,90,87,35
Noah Ringer,3,1,0
Melonie Diaz,44,5,0
Muhammad Ali,6,1,4
Trisha Todd,1,0,0
Michael Paré,153,1,6
Ellis Cashmore,1,0,0
Eriq La Salle,57,18,10
Agniya Ditkovskite,19,2,1
Michael Douglas,60,42,50
Dan Mor,17,0,0
Heather Matarazzo,55,10,6
Zhao Wei,46,34,32
Bruno Ganz,121,15,27
Samuel Le Bihan,61,1,2
David Fandila,24,2,2
Pamela Anderson,49,9,2
Shankar Mahadevan,5,41,21
Agnes Bruckner,50,2,3
Matthew Daddario,10,6,3
Sharlto Copley,23,12,1
Benoît Magimel,74,3,5
Darci Kistler,1,0,0
Shane Carruth,8,28,6
Natasha Rinis,3,0,0
Matthias Schweighöfer,72,14,16
James Lorinz,32,0,0
Pat Boone,34,3,4
Takeshi Kitano,67,39,50
Gabrielle Union,79,27,7
Rhona Mitra,44,1,0
Neil Patrick Harris,94,59,28
Anne Dorval,35,20,11
Ben Lyon,72,1,1
Dr. Dre,42,20,5
James Marshall,41,1,0
Ryan Newman,18,4,1
Jason Trost,30,3,3
Tony Goldwyn,76,3,2
Nash Edgerton,44,23,46
"""MoNique""",30,26,57
Gene Tierney,41,3,3
Vincent Desagnat,56,0,0
Jack Warner,39,0,0
Malcolm McDowell,260,9,14
Henry Fonda,127,16,18
Peter Sallis,156,1,1
Catherine Zeta-Jones,41,34,18
Jennifer Westfeldt,28,1,4
Bogdan Benyuk,46,1,1
Jürgen Vogel,134,8,13
Bruce Reitherman,3,3,1
Deborah Harry,65,2,3
Vin Diesel,47,32,8
Kimberly Beck,70,0,0
Lea Thompson,95,5,5
Rodrigo Santoro,69,15,18
Chen Kun,37,9,8
Yumiko Shaku,57,0,0
Oprah Winfrey,33,83,52
Jonah Hill,60,58,9
Peter Strauss,85,7,7
Jamie Chung,50,3,5
Bruce Campbell,127,8,11
Joe Cocker,2,2,2
Minnie Driver,78,27,12
James Corden,66,38,18
Mariah Carey,124,124,72
Tiger Shroff,10,2,6
Art Parkinson,12,4,1
Kim Kkobbi,34,1,4
Michael Murphy,113,2,2
Mitch Cohen,7,0,0
Kevin Sorbo,133,5,1
Charis Michelsen,21,0,0
Jérémie Renier,60,14,9
Duane Jones,8,0,0
John Cena,72,1,1
Wang Baoqiang,38,5,8
Erin Cottrell,38,3,3
Tannishtha Chatterjee,43,1,4
Norman Wisdom,45,2,2
Madeline Carroll,39,2,0
Kari Hietalahti,97,2,1
Zhang Guoli,38,5,9
Renee Leblanc,1,0,0
Anne Bancroft,86,39,15
Denise Richards,94,7,4
Franky G,33,1,1
Klaus Maria Brandauer,77,14,30
Orson Welles,128,19,27
Cameron Diaz,55,83,33
Kemal Sunal,87,3,3
Abbie Cornish,39,24,14
Scout Taylor-Compton,78,3,1
Moni Moshonov,46,6,1
Joseph Gordon-Levitt,81,65,23
Stephen Rea,125,14,8
Mae Whitman,148,30,9
Alfred Molina,186,52,14
Tula Belle,18,0,0
Martin Escudero,46,3,1
Ray Winstone,136,18,14
Louis C.K.,37,85,26
Troy Donahue,101,2,2
Vijay Sethupathi,53,7,4
Pete Postlethwaite,102,13,5
Hayden Christensen,35,19,10
Guy Pearce,72,38,11
Dustin Hoffman,84,53,63
Derek Jacobi,151,14,14
Sophia Loren,95,33,65
Emma Stone,42,116,58
Alden Ehrenreich,20,15,1
Nikolaj Lie Kaas,65,16,15
Gary Busey,176,8,5
Jamie Bell,31,23,18
"""Shaquille ONeal""",34,3,1
Zana Briski,22,1,0
Fernando Fernán Gómez,213,19,42
Madhavan,79,10,8
Tobin Bell,113,4,4
Dominique Swain,98,9,6
Kari Heiskanen,74,3,5
James Caan,131,20,8
Richard E. Grant,124,6,7
Robert Gonera,75,1,1
Georges Méliès,170,0,0
Artur _mijewski,58,1,1
Danielle Harris,94,4,2
Bryce Johnson,76,1,1
Frank Langella,101,45,12
Frankie Muniz,47,27,13
Eli Wallach,169,6,9
Vasily Stepanov,3,2,0
Cathy Cavadini,108,1,1
Tom Selleck,83,24,19
Fay Masterson,88,0,0
Leonid Kuravlyov,189,1,1
Fransisco Arruda,3,0,0
Eitan Cunio,1,1,1
José Coronado,93,10,14
Patricia Arquette,64,53,49
Melissa Joan Hart,68,13,9
Chi Cao,1,1,0
Carl Brisson,13,0,0
Amanda Seyfried,53,17,7
Logan Lerman,29,21,7
Cary Grant,77,20,13
James Garner,98,37,18
Imran Khan,19,5,3
Joe Bishop,1,0,0
Anika Noni Rose,50,21,6
Sammo Hung,188,21,10
Stephen Dorff,89,6,5
Amy Brenneman,45,18,8
Louise Bourgoin,22,1,2
Sean Penn,66,108,73
Eric Wareheim,40,3,1
Dave Chappelle,28,13,7
Charles King,425,0,0
Ernest Borgnine,206,11,18
James Marsden,76,12,6
Bob Hoskins,119,15,24
Layla Olwy,51,4,4
John Travolta,77,58,54
Bernadette Peters,69,14,5
John Saxon,198,3,4
Billy Bob Thornton,93,54,32
Ashley Grace,29,0,0
Billy Crudup,47,6,9
Seth Green,184,30,9
Harry Dean Stanton,204,11,8
Taylor Lautner,26,31,19
Eric Allan Kramer,98,0,0
Angus Scrimm,58,1,1
Jim Parsons,38,64,21
Gregory Hines,47,13,7
Randeep Hooda,36,4,2
Valentinas Masalskis,28,1,1
Joseph Kaiser,5,0,0
Franco Nero,226,3,12
Thomas McHugh,6,0,0
Dana Carvey,44,14,5
Rick Roberts,94,3,2
Gloria Jean,40,0,0
Christopher Scott Cherot,6,2,3
John Simm,55,6,0
Scott MacDonald,77,0,0
Scott Weinger,38,2,1
Chris Stafford,6,1,1
Giovanni Ribisi,99,21,5
Emma Thompson,82,108,62
Rutina Wesley,19,5,3
John Gilbert,101,1,1
Dianna Agron,39,9,1
Rupert Friend,28,9,2
Parvathy Thiruvothu,24,4,11
Paul Scofield,41,13,12
Andy Serkis,96,52,39
Ron Perlman,243,12,8
Fairuza Balk,49,6,4
Keri Russell,43,35,8
Anna Karina,83,1,4
Felicity Mason,11,0,0
Anthony Quinn,168,19,9
Omar Epps,35,14,5
Carice van Houten,52,15,21
Nicole Kidman,84,183,90
Vanilla Ice,11,4,1
Carmina Villaroel,90,8,0
Diana Ross,10,7,9
Tom Arnold,166,3,5
Maggie Cheung,90,14,24
Michael Jai White,96,5,0
Patrick Warburton,168,9,3
George Carlin,44,27,18
Lon Chaney,197,0,0
Luke Goss,57,3,1
Brittany Murphy,65,19,3
Eric Freeman,6,0,0
Peter Falk,110,27,22
Jim Belushi,153,2,2
Alan Tudyk,113,15,11
Chris Kattan,63,2,1
Jennifer Coolidge,103,5,3
Oliver Cooper,24,2,0
Judd Nelson,118,4,2
Tristán Ulloa,52,14,4
Tammy Blanchard,51,10,4
Neve Campbell,60,11,6
James Stewart,99,22,27
Dale Midkiff,67,1,5
Dom DeLuise,125,3,4
AnnaSophia Robb,27,8,4
Raymond Thiry,103,4,5
Lucas Till,39,4,0
Tracey Ullman,53,42,34
Song Kang-ho,42,28,34
Zach Galligan,70,0,0
Marcell Nagy,5,1,1
Kathryn Burns,33,2,1
Gary Cooper,117,9,14
Dan Monahan,16,0,0
Katja Riemann,100,15,17
Leonid Yarmolnik,85,6,6
"""Wilbur Hi-Fi White""",4,0,0
Catherine Deneuve,133,24,36
Adrian Rawlins,98,2,0
Paul McGann,103,3,4
Aaron Stanford,32,1,2
Om Puri,315,6,10
Gene Hackman,100,41,32
Denzel Washington,56,168,83
Mélanie Thierry,46,2,3
Cliff Robertson,114,5,13
Lorenza Izzo,20,1,0
Münir Özkul,198,0,0
Gregory Smith,54,13,3
Tom Green,33,8,11
Lee Marvin,104,13,11
Scott Grimes,60,8,0
Shannyn Sossamon,41,7,1
Marisa Coughlan,41,1,1
Alberto Sordi,155,18,36
Warren Beatty,34,52,39
Matthew Le Nevez,35,2,2
Alicia Witt,82,4,3
Al Pacino,59,71,46
Matt Lanter,52,4,1
Sean Gullette,27,9,3
Zachary Levi,57,14,2
Jakob Oftebro,42,2,2
Tom Atkins,81,2,2
Norm Macdonald,51,2,1
Rupert Everett,73,22,13
Harriet Owen,5,0,0
Miguel Ángel Solá,97,9,14
T.I.,113,34,4
Sarah Polley,54,74,53
Richard Dreyfuss,120,16,18
Donald Pleasence,234,4,2
Richard Chamberlain,86,13,13
Ari Graynor,43,1,1
Ed Gale,58,0,0
Pierre Dulat,24,0,0
Vanessa Redgrave,140,75,47
Katie Jarvis,10,7,4
Vladimir Turchinsky,13,0,0
Terence Knox,81,1,1
Gérard Philipe,36,2,2
Debi Derryberry,252,5,0
John Paul Tremblay,27,9,2
Daniel Kaluuya,42,47,16
Liam Hemsworth,29,16,6
Roseanne Barr,30,38,19
Angelica Lee,24,8,4
Jean-Pierre Darroussin,113,8,8
Adam Rayner,28,0,0
Margaret Lockwood,63,3,2
Shad Moss,32,3,0
Ben Barnes,26,5,0
Ricky Schroder,59,14,10
Bobby Deol,46,1,1
Xavier Samuel,34,4,3
Michael Caton,48,4,2
Jan-Michael Vincent,84,5,4
Bridget Fonda,49,8,3
Ryan Kwanten,46,5,1
Dorian Corey,1,0,0
Martin Lawrence,37,11,5
Kristin Kreuk,18,14,2
Andrew Garfield,29,81,19
Stephen Chow,71,30,14
Carlos Gallardo,19,1,1
Jon Foo,15,0,0
Campbell Scott,79,12,7
Jude Law,72,59,19
Lee Ji-ah,12,1,1
Leonardo DiCaprio,42,210,98
Lubna Azabal,63,2,9
Goran Visnjic,53,3,3
Nancy Allen,40,6,1
Steve Carell,73,128,34
Olivia Cooke,18,10,2
Morgan Freeman,123,80,61
Melinda Clarke,55,1,2
Juno Temple,51,2,2
William Mapother,92,2,0
Anthony Dexter,25,0,0
Mahershala Ali,43,30,58
Marie Dressler,31,2,2
Lee Horsley,32,2,2
Ben Browder,44,4,2
Kuno Becker,47,2,1
Kathleen Quinlan,100,9,6
Albert Brooks,40,34,29
Ed Asner,384,30,36
Jodie Foster,80,50,59
Marlon Brando,46,35,30
Jay Chandrasekhar,28,6,3
Don Cheadle,88,103,35
Ho-jeong Yu,9,0,0
Connie Nielsen,55,8,5
Steven Seagal,57,11,1
Leo Howard,22,2,2
Lou Diamond Phillips,142,7,10
Keke Palmer,84,23,11
Iko Uwais,12,0,0
Toni Servillo,39,18,27
Joan Allen,47,64,36
Perdita Weeks,32,0,0
J.J. Johnson,70,0,0
Marco Leonardi,63,2,1
Jason Schwartzman,67,16,11
Gregory Harrison,111,2,0
Artyom Tkachenko,43,2,0
David Bowie,77,24,18
Ethel Waters,29,2,1
Jason Priestley,113,13,12
Nils Asther,82,1,1
Doris Svedlund,45,0,0
Royalty Hightower,2,7,2
Ali Suliman,40,3,3
Evgeny Mironov,54,10,19
Kirby Heyborne,37,0,0
Andrzej Chyra,80,4,5
Jay Brazeau,270,5,2
Sidney Poitier,55,42,27
Jake Johnson,65,7,1
Tina Fey,37,131,48
Fernando Alves Pinto,53,1,1
Katie Holmes,49,14,5
Daryl Sabara,75,1,2
Hilary Swank,49,43,57
Leonid Barats,11,1,1
Neil Maskell,101,5,0
Ana Girardot,28,1,0
Emily Watson,60,56,32
Paula Garcés,47,2,0
Paul Gross,50,20,17
Andrey Krasko,58,4,1
Anne Coesens,61,2,5
Carly Schroeder,27,5,3
Ingrid Thulin,68,3,8
Emily Bergl,44,2,0
William Kerwin,132,0,0
Martin Speer,30,0,0
Jim Henson,91,31,42
Shoshana Bush,29,0,0
Jeremy Theobald,10,1,1
Angela Schijf,31,5,5
Silvio Berlusconi,1,0,0
Leo Minaya,9,1,1
Ryan Robbins,129,9,8
Robert Gemp,1,0,0
Franca Mai,3,0,0
Jean-Paul Belmondo,91,8,8
Patrick Timsit,57,4,0
Wesley Snipes,65,12,9
Thomas Turgoose,25,4,4
Abhay Deol,25,5,0
Stephanie Leonidas,43,1,1
Deems Taylor,1,0,0
Bijou Phillips,34,1,0
James Blackwell,3,0,0
Lee Byung-hun,45,22,20
Buster Keaton,149,6,6
Jeffrey Chyau,2,0,0
Brian Hooks,53,1,0
Agata Trzebuchowska,2,7,1
Amy Acker,51,5,4
Jason Patric,50,5,3
David Spade,76,17,6
Gael García Bernal,57,38,36
Rider Strong,59,8,4
Adrian Titieni,77,5,3
Mick Foley,95,0,0
Paul Hubschmid,106,1,1
Chris Eigeman,29,2,1
Laura Camien,3,0,0
Lois Alexander,14,0,0
Thomas Kretschmann,130,6,4
Margaret Colin,70,1,2
Michael Parks,146,5,4
Dinesh Ravi,16,3,0
Annabeth Gish,86,5,2
Garret Dillahunt,84,10,6
Russell Brand,34,12,5
Clare Higgins,73,1,0
Gillian Anderson,61,76,28
Sean Patrick Flanery,103,1,1
Radha Mitchell,67,13,21
Kenan Thompson,67,10,2
Brady Corbet,38,13,8
Tracy Camilla Johns,8,1,0
Brianna Brown,64,2,4
Gary Walker,7,0,0
Ajay Devgn,115,19,18
Kelly Reno,4,1,0
James Cagney,70,5,13
Stefania Rocca,79,8,5
Skandar Keynes,7,3,1
Josef Sommer,100,0,0
Vincent Pérez,207,3,8
Igor Shmakov,3,0,0
Linda Blair,74,8,5
Shari Albert,27,0,0
Red Skelton,49,5,10
Gordon Warnecke,25,0,0
Natasha Henstridge,69,2,4
Paul Bettany,47,21,7
Tupac Amaru Shakur,1,0,0
Chris Pine,48,30,8
Jerry Seinfeld,25,43,20
Lesley-Anne Down,79,3,3
Elijah Wood,104,44,26
Dane Cook,46,4,3
Bruce Abbott,35,0,0
Son Ye-jin,29,6,18
Rebecca De Mornay,58,4,3
Gina Philips,48,0,0
Zhang Lei,7,1,1
Domhnall Gleeson,46,11,5
Ji Guanlin,5,0,0
Bill Pullman,94,3,7
Joan Plowright,75,8,9
Fionn Whitehead,6,2,0
John Mellencamp,31,2,0
John Abraham,61,10,5
Chen Kuan-Tai,146,0,0
Kevin Clash,202,20,30
John Savage,234,3,10
Jack Black,153,48,12
Elvis Presley,31,8,10
Fred Savage,51,16,13
Hayden Panettiere,68,26,12
Sean Maguire,43,0,0
Abhishek Bachchan,64,23,26
Irene Dunne,51,7,7
David Strathairn,132,39,14
Mark Hapka,36,0,0
Alexa PenaVega,91,12,4
John Barrymore,66,2,2
Julie Delpy,62,64,30
Michael Carbonaro,26,2,2
Morgan Spurlock,4,19,12
Freddie Prinze Jr.,48,15,8
Goldie Hawn,35,34,21
Fyodor Bondarchuk,66,22,9
Tang Wei,79,0,0
Germán Alcarazu,6,0,0
Brenda Blethyn,81,39,19
Mark Duplass,45,8,8
Hugh Jackman,57,87,29
Kevin Gage,63,1,0
Amy Adams,59,198,71
Brad Pitt,81,153,67
Jay Chou,14,14,5
Ritesh Deshmukh,51,12,9
Ilona Massey,23,1,1
Dana Snyder,85,2,1
William Gates,1,0,0
Brooke Shields,100,19,14
Anthony Michael Hall,89,3,2
Anton Yelchin,68,15,8
Robert Hays,82,0,0
Keenen Ivory Wayans,22,14,5
Jurnee Smollett,38,14,6
Fred MacMurray,98,4,4
Cloris Leachman,281,41,24
Peter Fonda,116,21,14
Chuck Norris,42,1,8
Yuriy Kutsenko,97,6,2
Topher Grace,53,15,7
George Nader,72,4,1
Lotta Losten,16,0,0
Martin Landau,175,24,30
Felicity Jones,41,40,12
Erin Fisher,6,0,0
William Holden,76,17,11
Mark Addy,59,7,2
Sergey Gorobchenko,51,3,0
James Spader,54,36,12
Nia Vardalos,41,18,9
Salman Khan,124,40,28
Will Ferrell,107,72,14
Haley Joel Osment,87,29,26
Mark Strong,104,7,3
Tom Felton,44,3,5
Ashley Bell,35,6,0
Jay Mohr,83,5,2
Sissy Spacek,64,49,41
Martin Henderson,41,5,0
Sylvester Stallone,83,65,59
Barrie Ingham,99,0,0
Richard Harris,77,16,12
Hyun Bin,21,1,2
Everlyn Sampi,2,1,1
Isabella Rossellini,87,17,12
Bela Lugosi,116,1,1
Heather Langenkamp,40,2,2
Tilda Swinton,82,152,64
Eric Bana,33,13,8
William Brent,37,3,3
Rick Moranis,40,5,3
Katharine Hepburn,53,40,28
Ciarán Hinds,109,11,7
Aditya Roy Kapoor,12,7,6
Sandra Bullock,57,112,76
Dane DeHaan,32,5,2
Robert Wuhl,41,5,2
Diane Lane,68,32,16
Phil Vischer,70,1,1
Joaquín Cosio,83,7,2
Kou Shibasaki,53,8,8
Anil Kapoor,132,14,24
Matt Damon,81,142,36
Laura Dern,88,54,23
Yul Brynner,47,5,3
Hitomi Kuroki,102,4,4
Jackie Chan,140,47,39
Diana Wynyard,1,0,0
Barney Clark,8,1,0
Annette Bening,43,115,56
Tim Curry,230,13,3
Robyn Lively,92,5,0
Kevin Peter Hall,19,0,0
Lisa Ann,56,1,0
Jason Clarke,67,7,3
Daniel Wu,75,12,3
Carroll Baker,84,6,5
Richard Egan,69,2,1
"""Dinesh DSouza""",1,0,0
Nivin Pauly,36,2,8
Aaron Taylor-Johnson,40,18,4
Peter Simonischek,76,10,9
Megan Faccio,1,0,0
Brit Marling,14,13,4
Judy Davis,65,53,48
David Naughton,89,0,0
Mark Frechette,3,0,0
Jessica Harper,42,1,1
Embeth Davidtz,40,1,1
Yul Vazquez,104,2,0
Leigh Whannell,33,7,5
Peter Coyote,160,3,6
Rachel York,36,0,0
Jon Heder,74,17,8
Isabel Jeans,39,0,0
John Goodman,158,72,31
Masey McLain,10,1,0
Norma Aleandro,83,13,17
Kirsten Dunst,83,68,34
Cherry Pie Picache,141,29,13
Patrick Macnee,174,1,2
Julia Dietze,86,0,0
Joe Morton,128,11,6
Minami Takayama,176,0,0
Anne-Marie Mallik,1,0,0
Karen Black,202,8,14
Jordana Beatty,7,2,1
Serdar Kebapçilar,4,0,0
Chang Chen,38,9,1
Daniel Day-Lewis,29,95,143
Arnold Schwarzenegger,71,37,25
Albert Finney,65,53,32
Leslie Easterbrook,104,2,2
Isaach De Bankolé,69,1,3
Warner Baxter,108,2,2
Jung Jae-young,1,0,0
Henry Silva,138,0,0
Robert De Niro,116,99,55
Quvenzhané Wallis,10,42,25
Kal Penn,68,5,0
Christoph Waltz,112,42,84
C. Thomas Howell,209,2,2
Ellen DeGeneres,32,81,92
Bruce Greenwood,148,20,7
Joan Crawford,106,8,9
Dhanush,43,20,24
Sergey Garmash,139,18,14
Jimmy Shergill,94,3,2
Eric Stoltz,124,4,10
Jon Abrahams,55,1,4
Rocky Mayor Anderson,1,0,0
Manuela Velasco,49,4,2
Jeffrey Hunter,69,1,1
Kieran Culkin,30,9,4
Carol Block,2,0,0
Essie Davis,50,31,16
Oliver Reed,120,3,2
Yuliya Vysotskaya,12,3,4
Matt Czuchry,25,6,0
Sonny Bono,32,7,7
Brendan Fletcher,121,10,8
Martin Donovan,107,6,3
Stanislav Boklan,26,1,1
Per Christian Ellefsen,39,1,1
Katee Sackhoff,57,9,2
Saffron Burrows,65,3,0
Rachel Dratch,88,2,0
Marina Neyolova,49,3,2
Ryan Gosling,43,142,35
Danila Kozlovsky,36,10,5
Stacy Valentine,46,0,0
Aimee Teegarden,30,3,1
Aleksey Chadov,39,6,4
Anna Kendrick,50,71,17
Tony Jaa,25,4,0
Chadwick Boseman,31,22,6
Roshan Seth,88,2,3
Jamie Lee Curtis,74,30,12
Nigel Havers,101,2,2
Jack Palance,126,6,9
Dax Shepard,51,2,0
Karl Glusman,19,0,0
Cees Geel,98,1,2
Karen Gillan,53,17,7
Larry David,20,63,15
Marc Lavoine,44,2,0
Lee Scott,2,0,0
Eddie Redmayne,38,70,22
Mohanlal,360,9,28
Dacre Montgomery,8,3,0
Selena Gomez,85,44,40
Adelelmo Jimenez,1,0,0
Amitabh Bachchan,229,53,58
John G. Brennan,11,0,0
Jonathan Taylor Thomas,37,11,5
Blake Lively,24,21,8
Brenda Vaccaro,102,10,10
Ellar Coltrane,13,20,7
Alycia Debnam-Carey,16,2,0
Coluche,28,1,1
May Clark,20,0,0
Otto Jespersen,15,1,0
Eleanor Boardman,32,1,1
Robin Weigert,69,5,2
Courtney B. Vance,69,14,10
Jada Pinkett Smith,46,23,6
Jacques Vermeire,26,0,0
Kofi Ghanaba,1,0,0
Sarah Cohen-Hadria,11,0,0
Peter Dinklage,76,51,19
Milla Jovovich,57,19,3
Elle Fanning,58,38,10
Garik Kharlamov,21,1,1
Jermaine Sullivan,1,0,0
Tom Cavanagh,81,14,5
Ryan Phillippe,57,15,10
Jon Foster,26,1,0
Robert Donat,21,5,4
Greta Garbo,32,6,14
Philippe Labro,4,1,0
Danny DeVito,132,39,14
Halle Berry,56,82,43
David Emge,4,0,0
Adam Brody,74,4,4
Dmitriy Dyuzhev,50,8,3
Mónika Garami,3,0,0
Michael Caine,170,65,38
Joel Edgerton,73,53,15
Peter Franzén,85,8,5
Chris Rock,73,67,19
Justin Long,91,8,3
Richard Joseph Paul,40,0,0
Nicolas Cage,97,65,45
Dennis Hopper,204,17,25
Leonard Mann,35,0,0
Leo Fitzpatrick,62,0,0
Lea Michele,11,29,12
Mike Myers,52,43,29
Ailín Salas,37,2,0
Brenton Thwaites,22,1,2
Bharat Jadhav,74,0,0
Fernanda Montenegro,79,24,40
Brandon Lee,10,2,1
Nicole Abisinio,14,0,0
Miranda July,11,16,25
William Hurt,100,30,17
Will Shortz,3,0,0
Victor Rasuk,39,8,0
Chris Riggi,34,0,0
Alex Kendrick,10,6,6
Patricia Tallman,45,0,0
Danielle Ryan Chuchran,43,4,1
Anna May Wong,63,1,1
Elisabeth Shue,56,12,9
Vittorio Gassman,130,7,34
Samuel Anderson,30,2,0
Sergey Chirkov,19,0,0
Charlie Yeung,30,3,0
Richard Coyle,52,0,0
Lukas Haas,93,8,6
Eliza Dushku,64,7,0
Sam Rockwell,102,59,45
Loreto Peralta,9,3,3
William Gillette,1,0,0
Leonor Watling,55,8,8
Sathish Ninasam,15,1,0
Khalid Abdalla,20,0,0
Judy Marte,22,3,0
Timothy Olyphant,60,21,4
George Clooney,89,200,90
Sara Paxton,77,8,2
Jennifer Jones,27,7,7
Lucille Ball,121,17,24
Gaspard Ulliel,45,7,7
Richard Gere,59,28,21
Daniel Brühl,71,27,24
Alex Karpovsky,56,4,1
Maika Monroe,28,5,4
Nawazuddin Siddiqui,87,14,17
Jocelin Donahue,37,1,1
Bruce Davison,258,10,11
Hui Lou Chen,112,0,0
Phyllis Haver,105,0,0
Gary Oldman,97,75,58
Reese Witherspoon,59,103,54
David Morse,94,13,7
Debra Messing,37,45,20
Dan Castellaneta,217,25,12
Luc Picard,56,10,6
Richard Arlen,180,1,1
Hilary Duff,72,27,19
Farley Granger,85,1,1
Monica Engesser,15,0,0
Helena Bergström,38,3,4
Mike Maas,39,0,0
Alfred Abel,140,0,0
Emma Roberts,51,26,6
Lori Cardille,13,1,1
Carol Burnett,73,52,45
Jane Levy,27,2,0
Eli Marienthal,17,1,3
E.G. Daily,205,2,0
Anushka Sharma,22,21,10
Amy Sedaris,103,6,0
Thierry Lhermitte,147,1,1
Patrick Stewart,153,51,19
Kevin Zegers,73,6,3
Helena Bonham Carter,94,87,45
Yoshiko Tanaka,53,5,5
Thomas Horn,3,1,3
Phoebe Cates,19,0,0
Silvia Seidel,26,1,3
Brad Johnson,46,1,1
"""Morgana OReilly""",20,4,0
Michael Dudikoff,61,0,0
Luke Wilson,77,4,10
Amber Valletta,28,0,0
Ronald Colman,62,5,4
Danny Glover,198,42,30
Johnny Yong Bosch,308,28,9
