directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Russ Meyer,29,1,0
Andrew Solt,47,9,2
Ben Sombogaart,36,19,18
Stuart Hazeldine,3,3,3
James Wong,7,13,8
Marcos Carnevale,17,7,3
Steve Rash,15,0,0
Gil Kenan,4,4,1
John Madden,25,20,13
Parmeet Sethi,3,0,0
Frank Nissen,6,0,0
Fernando Meirelles,22,42,58
Charles A. Nichols,106,3,1
Walter C. Miller,154,23,9
Gene Kelly,17,9,13
Israel Horovitz,2,1,4
Jamie Uys,24,4,1
Uli Edel,34,11,8
Denys Arcand,28,23,44
Mitch Rouse,7,1,0
Richard A. Colla,61,1,0
Drake Doremus,12,9,6
Hayley Cloake,7,0,0
Marc Abraham,2,3,3
Sung-hoon Kim,2,20,15
Dave Green,8,1,2
Filipp Yankovsky,4,3,2
Michael McCullers,3,0,0
James Bridges,8,14,5
John Hillcoat,39,10,4
William Nigh,120,0,0
David Weaver,23,3,2
Don Jones,7,0,0
Salim Akil,8,10,3
Randal Kleiser,33,3,2
Stephen Anderson,7,5,0
Ti West,17,14,5
Yegor Konchalovsky,10,2,1
K. V. Anand,19,2,7
David Twohy,9,8,1
David Bowers,8,4,1
Ellory Elkayem,6,2,2
Gregory Hoblit,21,20,11
Randa Haines,16,5,9
Robert Harmon,22,7,5
Michael Caton-Jones,18,5,3
Sylvain Chomet,7,33,22
Jeremy Saulnier,8,18,18
Konstantin Bronzit,15,18,43
Josef von Sternberg,35,5,8
Breck Eisner,11,1,0
Arne Mattsson,62,5,1
Brad Copeland,1,5,3
William Shatner,13,43,25
Marah Strauch,6,2,3
Michael Worth,14,4,8
Jason Friedberg,9,5,1
Anthony Stacchi,4,11,1
Charles Stone III,17,5,0
Edoardo Leo,6,11,16
Frank Capra,58,15,12
Steve Boyum,31,5,0
Jim Field Smith,13,1,0
Richard Benjamin,22,7,2
Busby Berkeley,31,5,5
Frank Henenlotter,13,3,3
Fyodor Bondarchuk,11,22,9
Richard Boleslawski,24,1,1
Til Schweiger,16,6,26
Brad Bird,11,31,32
Ram Madhvani,4,3,5
Jared Hess,13,4,1
Will Gluck,1,0,0
Paul Dinello,6,25,9
Michael Corrente,7,3,3
Paul Feig,26,11,12
Genndy Tartakovsky,22,18,6
David Giles,44,1,0
Preston A. Whitmore II,5,1,0
Brian Robbins,20,7,4
Nnegest Likké,3,9,5
William Conrad,30,5,3
Martin McDonagh,4,88,46
Sydney Pollack,41,42,27
Jonathan Miller,17,3,0
Kim Farrant,11,3,0
Peter Faiman,11,0,0
Martin Koolhoven,15,20,25
Kirill Kozlov,1,0,0
Steven Bernstein,3,5,2
Richard Eyre,21,13,10
Uwe Boll,32,6,5
Kinka Usher,3,1,1
Frederick Wiseman,47,45,35
Peter Ramsey,3,5,3
Émile Gaudreault,8,5,3
Takao Okawara,8,1,0
Dick Maas,25,7,10
Sidney J. Furie,56,6,3
Jay Duplass,12,12,8
Bryan Forbes,20,12,10
Richard E. Grant,1,6,7
Larry Clark,15,9,5
Hayao Miyazaki,29,46,76
Renata Litvinova,6,24,5
John Asher,19,6,6
John Sullivan,1,0,0
Roberto Santucci,15,3,3
Assaf Bernstein,8,2,4
Mickey Liddell,1,5,0
Bobcat Goldthwait,32,11,8
Shôhei Imamura,25,14,44
Kate Barker-Froyland,4,2,0
Emmanuelle Bercot,14,18,6
Sofia Coppola,21,77,58
George Jackson,1,0,0
John McNaughton,23,9,6
Gaby Dellal,8,5,3
Clyde Geronimi,55,6,3
Mika Kaurismäki,37,11,9
Radu Jude,15,38,53
David Dobkin,22,1,1
Ramaa Mosley,10,1,0
Michael Sucsy,4,6,4
Peter Kosminsky,20,13,15
Ilya Maksimov,4,3,1
James Vanderbilt,1,17,0
Sharon Maguire,13,6,1
Karel Reisz,15,12,7
Lee Unkrich,8,28,30
Frédéric Jardin,7,0,0
Michael Gottlieb,8,1,3
Eldar Rapaport,9,3,3
Pernilla August,5,16,18
Fritz Kiersch,13,1,1
Guillaume Canet,11,16,10
Heath Jones,1,0,0
Nitesh Tiwari,4,2,6
Morten Tyldum,19,20,34
Scott Kalvert,34,1,0
David Barker,3,1,1
Rob Letterman,7,3,0
D.J. Caruso,31,0,0
Doug Block,6,4,1
Sam Irvin,40,2,3
Craig Bolotin,4,1,0
Paul Glickler,1,0,0
Justin Kerrigan,6,7,6
Jonathan Kaplan,38,8,5
Luca Bercovici,10,0,0
Chris Sanders,4,25,10
Joe Chappelle,17,5,0
Adam Rifkin,24,4,4
Tom Putnam,16,3,12
Anand L Rai,8,5,0
Paul Johansson,6,1,1
Marc Forby,2,2,2
Vincent J. Donehue,19,3,0
John Cromwell,49,4,1
George Sidney,57,13,9
Hunter Richards,2,1,1
James Yukich,186,8,1
Erik Matti,24,23,11
Dror Moreh,2,7,4
Yang Ik-june,6,7,26
Cheryl Dunye,21,5,9
Susan Seidelman,26,7,5
