directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Bruce McCulloch,13,15,7
Richard Loncraine,23,16,8
Philip G. Atwell,25,4,0
Valeria Golino,3,60,65
Leon Ichaso,34,5,5
Anthony Russo,22,10,3
Martin Lawrence,1,11,5
Yan Vizinberg,2,1,1
Fran Rubel Kuzui,3,0,0
Amos Poe,21,2,0
Robert De Niro,2,99,55
Steve Antin,3,1,0
Jon Stewart,1,98,40
John Llewellyn Moxey,101,1,0
Jim Jarmusch,29,49,33
Victor Fleming,50,5,2
Hans Canosa,3,3,2
Teddy Chan,11,10,3
Jim Rash,3,30,20
J.J. Abrams,15,55,21
Peter Markle,59,4,3
Gary Shore,4,2,0
D. Stevens,3,1,1
Marc Webb,47,7,7
Douglas Aarniokoski,21,1,0
Nicole Holofcener,23,34,8
Matthew Heineman,8,44,30
"""Matthew OCallaghan""",13,6,0
Kathleen Slattery-Moschkau,2,0,0
Steve Oedekerk,8,4,2
Peter Bogdanovich,34,14,19
László Benedek,42,3,1
Arjun Sablok,3,0,0
Doug Sweetland,5,2,4
Todd Holland,52,18,10
Donna Deitch,43,3,3
Olaf Lubaszenko,9,3,5
Albert Parker,36,0,0
Geremy Jasper,5,8,2
Shuki Levy,11,0,0
Jack Sholder,22,5,7
Daniel Mann,1,1,0
Eric Red,8,2,0
William Phillips,4,4,1
Krishna D.K.,8,1,0
Joe Cornish,7,16,12
Walter Salles,27,30,55
Stewart Raffill,24,1,4
Anjali Menon,5,5,5
Paul Donovan,15,2,1
Paul Verhoeven,29,38,42
Bùi Thạc Chuyên,5,7,6
Sarik Andreasyan,15,1,1
Oleg Pogodin,7,6,1
Robert Vernay,36,0,0
Michael Landon Jr.,16,1,8
Baz Luhrmann,17,49,34
Pedro Morelli,8,1,0
Charles Barton,98,2,1
Andrew Hyatt,4,4,2
Sergei Glezin,1,1,1
Frank Darabont,11,28,16
Christophe Van Rompaey,12,10,21
John Turturro,8,32,20
Ben Younger,7,5,2
Tony Randel,20,6,2
Roger Allers,5,8,2
Miguel Arteta,37,18,3
Jason Bateman,10,43,13
Armand Schaefer,24,0,0
David de Vos,17,0,0
Albert Hughes,10,7,1
Kat Coiro,21,2,5
Daniel Petrie,97,21,14
Matthew Vaughn,8,18,5
Quentin Tarantino,21,179,139
Todd Louiso,4,3,1
Daryl Wein,10,6,3
Michael Rymer,23,14,21
Bertrand Blier,20,19,14
Koji Hashimoto,1,29,25
Adam Shankman,25,4,5
Stanley Donen,32,9,13
Roland Emmerich,25,16,16
Dejan Zečević,24,2,4
Darren Aronofsky,14,84,40
Stuart Heisler,40,0,0
Des McAnuff,6,3,2
Gene Fowler Jr.,18,7,4
Hal Sutherland,36,0,0
Peter Howitt,12,3,6
Denzel Washington,4,168,83
Robert Rossen,10,9,12
Jason Eisener,13,8,2
Kuntaa Nikkil,2,0,0
Bernie Goldmann,1,0,0
Paolo Barzman,42,3,1
Jennifer Kent,5,20,27
Todd Stephens,3,1,4
Larry Brand,11,4,4
Robert Altman,89,75,72
Lee Harry,3,1,1
William A. Fraker,10,9,9
Lance Mungia,6,2,1
Andrew V. McLaglen,59,1,1
Michael Mayer,10,1,0
Curtis Hanson,18,30,49
Menahem Golan,47,9,4
Christian Ditter,13,3,11
Frank Passingham,2,0,0
Jeffrey Nachmanoff,13,1,1
Roman Karimov,7,1,0
Asif Kapadia,18,25,33
Linda Wendel,12,2,2
Mary McGuckian,11,4,4
Barry Cook,10,4,2
Rakesh Roshan,14,13,18
Cristian Mungiu,12,56,38
Tom Donahue,11,8,2
Sabbir Khan,4,0,0
Forest Whitaker,6,56,56
Laurence Olivier,7,37,39
Greg Beeman,55,4,2
Jeff Burr,26,2,4
Constantine Giannaris,14,8,8
Richard Lester,33,5,13
Gina Prince-Bythewood,17,13,11
Stuart Burge,60,1,0
Michael Miller,3,2,0
Jeff Nathanson,1,5,1
Gary Fleder,43,3,3
S. J. Surya,9,3,0
Karan Malhotra,5,1,1
David Brooks,2,0,0
Thomas Vinterberg,22,47,50
Paco Cabezas,15,1,2
Anders Anderson,1,0,0
Lewis Teague,30,2,1
Robert Mulligan,34,11,6
Andy Muschietti,7,4,10
John Duigan,25,10,12
Lee Kirk,3,0,0
Maksim Voronkov,7,0,0
Dewey Nicks,3,1,0
Kevin Bray,84,1,0
Małgorzata Szumowska,15,31,25
Roger Vadim,31,2,0
J. Lee Thompson,49,11,4
Michele Placido,16,32,29
Jeff Chan,7,2,2
Trent Cooper,13,2,4
Todd Strauss-Schulson,28,4,2
Martin Donovan,2,6,3
Udayan Prasad,16,7,3
Tom Hanks,8,152,84
Zana Briski,1,4,16
Matthew Chapman,5,6,3
Ernest R. Dickerson,68,18,9
Larry Semon,131,1,1
Philip Sansom,9,0,0
Stanley Kwan,17,26,16
Marc Evans,27,6,9
Ali Abbas Zafar,9,2,1
Sammo Hung,36,21,10
Siddharth Anand,8,2,0
Andy Tennant,29,2,1
John Glenister,56,2,1
Juan Diego Solanas,5,5,10
Mark Tonderai,17,0,0
Thomas J. Wright,64,2,0
Victor Saville,43,1,0
Beeban Kidron,19,2,3
Bobby Farrelly,18,4,3
Todd Solondz,13,36,15
Richard Quine,46,1,0
Nikolay Lebedev,10,10,4
Mark L. Lester,34,3,3
Ernst Lubitsch,74,5,7
Michael Powell,60,10,10
Jordan Walker-Pearlman,8,3,7
Vetrimaran,4,4,8
James Algar,27,3,10
Mark Illsley,2,3,1
Julie Delpy,9,64,30
Alan Myerson,89,3,1
Chris Morris,7,19,9
Lucia Aniello,11,1,1
Michael Winterbottom,43,58,23
Afonso Poyart,6,5,6
Andrei Kavun,8,2,2
Mahesh Manjrekar,31,4,3
Greg McLean,9,13,2
Robert Wise,41,29,36
Jon Hurwitz,5,0,0
Joshua Logan,11,10,6
Daniel Alfredson,25,6,9
Jill Sprecher,3,3,4
Elia Suleiman,11,10,16
Stefan Haupt,12,10,13
Vicente Amorim,16,10,3
Charles Robert Carner,16,1,1
Charles Marquis Warren,22,2,1
Stuart Rosenberg,46,8,3
Paul Andrew Williams,16,13,10
Carl Schenkel,19,4,7
Evgeniy Shelyakin,5,1,0
André Calmettes,53,0,0
Ettore Scola,42,34,55
Sam Mendes,10,29,39
Tommy Wirkola,8,6,7
Dominic Burns,5,0,0
Mikael Salomon,49,12,8
Maryam Keshavarz,6,7,11
Juraj Herz,45,9,14
Ritesh Batra,9,18,22
Godfrey Reggio,8,1,6
Steve Gomer,29,1,2
Charlotte Sieling,23,4,2
Todd Haynes,19,92,58
Rob Schmidt,15,4,0
Luis Llosa,11,1,0
Mark Neveldine,5,0,0
Claude Barras,7,18,16
Achero Mañas,8,6,23
Jon Turteltaub,20,2,0
Sheldon Lettich,8,1,1
Giulio Manfredonia,15,8,7
Michael Patrick King,8,24,7
Orson Welles,54,19,27
Stewart Hendler,10,1,2
Gillian Armstrong,27,11,8
Jennifer Wynne Farmer,4,0,0
Steve Shill,62,4,1
James Manera,3,0,0
Marçal Forés,6,3,11
Duncan Jones,7,14,14
Taylor Sheridan,3,51,19
Christopher Leitch,50,1,1
Hector Babenco,14,17,23
Stacy Peralta,14,3,6
Steve McQueen,31,88,84
Geoffrey Sax,38,7,4
James Nunn,7,3,3
Jean Rollin,52,0,0
Michael Anderson,43,9,4
Jay Alaimo,7,1,0
Andrei Proshkin,10,13,7
Hugh Johnson,1,0,0
Kirk Wong,14,3,1
Ian Iqbal Rashid,4,2,1
Adam Elliot,7,8,36
Justin Lin,24,6,3
Garth Jennings,23,10,2
Richard Attenborough,12,24,28
Alan Clarke,30,1,2
Neal Slavin,2,3,0
Kon Ichikawa,92,21,32
Auli Mantila,11,8,5
Tim Coleman,1,0,0
Andrzej Bartkowiak,9,2,1
Anthony Waller,6,1,4
Kirsten Sheridan,8,21,35
Iain Softley,11,2,3
Henry Hobson,3,2,0
Vikramaditya Motwane,7,16,12
Robert Fuest,23,2,2
Spencer Gordon Bennet,124,0,0
Willard Carroll,4,5,4
Jonathan Sanger,20,8,2
Glen Goei,4,2,0
Steve Beck,2,4,1
Sean McConville,5,5,2
Jack Gold,56,10,7
Tamara Jenkins,7,19,10
Amir Bar-Lev,8,14,12
José Ferrer,7,8,3
Gábor Csupó,6,25,8
Chris Paine,4,2,0
Howard Storm,50,1,0
David Chase,6,33,18
John Harlow,39,0,0
Kelly Fremon Craig,1,8,3
William Castle,65,0,0
Byron Haskin,39,6,6
Bruce McDonald,78,30,27
Eldar Salavatov,4,1,1
Steve Carr,21,1,1
Joseph Kahn,107,13,9
Sam Taylor-Johnson,12,11,9
Otto Preminger,43,21,6
Mia Hansen-Løve,8,24,7
Robert Day,91,1,0
Jafar Panahi,18,30,44
Ryan Smith,1,0,0
Richard Rush,14,7,3
Leslie Zemeckis,3,2,3
Gabriel Aghion,17,2,0
Bill Fishman,18,1,1
John Lee Hancock,9,5,3
Joy Mathew,1,1,1
William Wyler,73,46,19
Lori Petty,2,2,3
Jeb Stuart,2,4,0
Matt Bettinelli-Olpin,15,2,0
Walter Lang,9,4,0
Togan Gökbakar,10,0,0
George Seaton,23,19,9
Phil Tucker,9,0,0
Philip Saville,56,3,3
Robert Kenner,10,14,7
Kabir Sadanand,7,1,0
Brian Dannelly,18,2,2
Guy Moshe,5,1,0
Agnieszka Holland,44,35,25
"""Jesse OBrien""",5,1,0
Bertrand Normand,5,0,0
Henry Cass,29,0,0
Joe Mantello,3,5,3
Charles Nemes,21,1,1
Madonna,3,98,44
Giuseppe Capotondi,8,7,2
John Polson,20,3,8
Caroline Link,13,8,24
Michael Showalter,12,3,6
Tim Fywell,41,4,5
Thomas Langmann,3,6,17
Michael Clancy,2,1,1
David Koepp,10,11,3
Deon Taylor,18,1,1
Gary Chapman,1,0,0
Kang Hyeong-Cheol,5,3,3
Joel Schumacher,34,9,9
Nick Cassavetes,12,8,5
Nimród Antal,10,5,10
Hank Braxtan,14,3,1
Ruben Fleischer,28,1,1
Delbert Mann,66,16,10
Levan Gabriadze,5,1,3
Takeshi Kitano,19,39,51
Alejandro Agresti,30,14,25
Michael Polish,13,11,8
Agathiyan,8,1,5
Rania Attieh,4,11,7
Brillante Mendoza,31,72,51
Neema Barnette,41,3,3
Michael Carreras,13,1,1
Herbert Ross,25,5,7
Phil Lord,8,14,15
Bernard Rose,26,9,6
Roberto Benigni,9,43,59
Stuart Baird,3,15,2
Albert Pyun,54,2,4
Boris Sagal,100,6,4
Frank Perry,21,8,5
W.D. Hogan,16,0,0
Leslye Headland,10,2,0
Lajos Koltai,3,6,9
Takashi Shimizu,38,5,2
Chen Kaige,20,20,28
Alan Shapiro,8,3,0
Tod Browning,62,2,2
Steven Brill,12,2,2
Aleksey German,6,4,12
Sol Tryon,2,1,1
Wes Craven,33,6,10
Sam Peckinpah,26,7,7
Joe Camp,11,2,1
Q. Allan Brocka,15,2,31
Jon Amiel,38,1,5
R.J. Cutler,17,14,5
Gillo Pontecorvo,22,6,18
Danny Leiner,31,1,0
Damien Chazelle,6,122,72
Claudia Llosa,6,11,21
Law Chi-Leung,8,8,2
Çetin Inanç,115,0,0
Anthony Hickox,28,3,3
Frank Oz,17,13,16
 E.W. Swackhamer,97,2,1
Niall Johnson,10,2,2
David Wnendt,9,13,10
Alex Kurtzman,5,9,3
Juan Antonio Bayona,19,23,28
Feliks Falk,24,10,14
Joe Pytka,24,12,5
Kevin Williamson,1,3,1
David Hand,34,1,1
Jay Chandrasekhar,53,6,3
Elliott Nugent,32,0,0
Philip Kaufman,13,17,15
Robert Towne,4,10,12
Charles Burnett,29,7,16
Frederick Stephani,1,0,0
Alan Taylor,35,15,6
Amma Asante,5,11,13
Jonathan Dayton,49,24,20
Jerry Zaks,15,3,3
Félix Enríquez Alcalá,100,9,2
Abbas Tyrewala,3,5,5
Troy Nixey,2,1,0
Saravana Subbiah,1,0,0
Michael Dowse,14,13,4
Stephen Hillenburg,11,12,16
Paul Weitz,13,9,3
Jimmy Hayward,4,0,0
Jonathan Silverman,3,1,3
Drew Barrymore,3,57,33
Nima Nourizadeh,7,0,0
Mike Mills,13,20,8
Yôji Yamada,87,37,58
Hart Bochner,5,0,0
Magnus Martens,22,3,3
Miguel Courtois,31,3,2
Park Kwang-hyun,3,2,1
Hal Haberman,2,3,1
Oliver Hirschbiegel,22,18,18
Gary Halvorson,150,18,16
Anand Patwardhan,16,9,13
Todd Field,13,42,23
Jon Kasdan,3,1,0
Farren Blackburn,26,1,1
John Herzfeld,22,4,3
Zal Batmanglij,5,5,2
Peter Chan,20,18,25
Arnaud des Pallières,11,9,7
Elizabeth Allen Rosenbaum,26,1,3
Henry Bean,2,6,5
Steffen Haars,11,6,11
Roger Kumble,30,0,0
Maren Ade,5,40,36
Aleksandr Medvedkin,17,2,2
Roger Young,52,3,4
John Wayne,5,18,26
Ursula Meier,12,18,17
Leslie Arliss,24,0,0
Bob Rafelson,20,10,5
Robert Kurtzman,5,6,4
Floyd Mutrux,5,0,0
Michael Radford,19,13,23
Carl Colpaert,10,2,3
C. Jay Cox,6,3,3
Scott Hicks,35,13,14
David Bruckner,5,5,0
Yau Nai-Hoi,1,29,16
Jeff Wadlow,10,1,8
Duke Johnson,6,22,17
François Truffaut,28,27,34
Goo Mo,1,0,0
R. Ravi Kumar,2,0,0
Sanjay Leela Bhansali,11,32,34
Chuck Russell,9,5,1
Dennie Gordon,73,1,1
Diederik Van Rooijen,25,6,3
Luke Greenfield,15,1,5
Simon Verhoeven,5,4,8
Ashutosh Gowariker,9,16,30
Alan Poul,14,13,9
Barry Jenkins,11,84,73
Juhn Jai-hong,5,3,2
Adam Simon,1,0,0
Derek Cianfrance,16,16,9
Rob Hardy,1,2,2
Dan Scanlon,4,8,2
Sriram Raghavan,7,3,0
Alan Alda,7,61,41
Xue Xiaolu,1,0,0
Andrew Douglas,13,4,2
Norton Virgien,10,5,6
Michael Gornick,6,0,0
Tony Jaa,3,4,0
Corey Yuen Kwai,32,19,3
Joel Edgerton,5,53,15
Ate de Jong,22,4,1
John Milius,13,6,4
Phil Alden Robinson,9,11,12
Nicole Conn,7,12,12
Robert Lieberman,56,1,0
Jim Sharman,6,1,1
Robert Greenwald,27,4,4
Louis Leterrier,9,0,0
Hwang In-Ho,2,0,0
Tom Green,5,8,11
"""Jim OHanlon""",26,1,0
Nick Weiss,5,0,0
Warren P. Sonoda,28,5,1
Nikita Mikhalkov,27,32,35
Alexandre Aja,12,11,2
Marius Balchunas,12,0,0
Liam Lynch,27,0,0
James Cameron,24,67,70
Jun Falkenstein,11,1,0
Anton Megerdichev,5,2,1
Mike Judge,16,32,5
Lewis Seiler,90,0,0
Abbas Alibhai Burmawalla,20,1,0
John Glenn,12,1,1
Tim Hill,13,1,1
Andrew Niccol,8,13,12
Joo-Young Ban,1,1,0
Akiva Schaffer,52,19,8
Lew Landers,175,0,0
Laís Bodanzky,13,14,27
Jingle Ma,18,13,4
Ole Bornedal,17,17,15
Jeremy Garelick,11,1,1
Imtiaz Ali,8,20,5
André Øvredal,8,11,15
Greydon Clark,20,0,0
Daniel Attias,84,9,3
Frank Launder,18,2,1
Natalie Portman,3,131,85
Nigel Finch,11,7,3
Wong Kar-wai,31,76,37
Stefan Schwartz,27,1,4
Kogonada,26,23,6
Jean-Claude Van Damme,3,9,2
Christopher B. Landon,7,2,1
Douglas Day Stewart,4,4,1
Paul Michael Glaser,21,6,4
Young-Sung Sohn,2,1,0
Dan Curtis,35,7,6
Vishnuvardhan,8,1,0
Mike Flanagan,14,16,26
Joachim Rønning,11,5,4
Huh Jung,2,2,1
Heidi Ewing,24,17,22
Peter Medak,68,3,1
Abhinay Deo,7,1,1
Michael Meredith,8,1,1
Michel Deville,33,17,16
Gil Junger,69,2,1
Grant Heslov,15,35,19
Jerusha Hess,1,1,0
Diane Keaton,11,55,33
Jeffrey Blitz,12,11,18
Campbell Scott,7,12,7
Neil Abramson,11,2,0
Jennifer Flackett,1,1,0
Mark Rosman,23,0,0
Lucy Walker,22,30,50
Igor Zaytsev,6,1,1
Gilles Mimouni,3,1,0
James Frawley,90,6,2
Lawrence Kasdan,12,30,21
Kenneth Bi,6,6,3
Radha Bharadwaj,2,1,1
David Gordon Green,24,36,14
Ben Affleck,7,110,73
Jonas Elmer,11,2,5
Robert Benton,12,27,31
J.C. Chandor,5,20,11
Dan Kwan,12,15,9
Kathryn Bigelow,19,61,83
Christos Dimas\t \t   ,21,1,0
Alexander Witt,3,0,0
Melanie Mayron,54,10,8
Irwin Winkler,7,10,12
Thom Eberhardt,17,2,2
Suri Krishnamma,37,5,12
Semih Kaplanoğlu,8,14,32
Julian Roffman,5,0,0
Timo Vuorensola,6,2,2
Bob Spiers,38,6,2
Tom Harper,22,4,3
H.B. Halicki,3,0,0
Mel Gibson,10,41,43
Josée Dayan,78,1,1
Denise Di Novi,4,4,1
David Silverman,12,16,7
Philip Zlotorynski,8,2,2
"""Tommy OHaver""",9,3,1
José Padilha,12,14,44
Daniel Monzón,6,17,19
Anthony Asquith,44,7,3
Benny Chan,26,11,2
Tyler Oliver,2,0,0
Jan Verheyen,22,6,3
Deborah Anderson,5,0,0
Bart Freundlich,15,4,1
Bill Forsyth,11,9,10
Wolfgang Petersen,30,8,12
Terry Jones,17,5,4
Rick Rosenthal,64,7,4
Jon Favreau,21,11,7
Maurice Tourneur,98,1,2
Michael Brandt,2,0,0
Puneet Issar,5,0,0
Erik Estenberg,11,2,2
Stuart Gordon,20,11,10
Mani Ratnam,26,17,26
James DeMonaco,5,4,1
John Payson,5,3,3
Robert Patton-Spruill,5,1,1
Marcus Raboy,1,0,0
Tian Xiao Peng,1,1,0
Sylvain White,27,1,0
Dan Gilroy,3,23,19
Kleber Mendonça Filho,12,25,64
John Guillermin,40,3,2
Gary Sinyor,9,1,4
Gregory Widen,2,0,0
Luis Mandoki,23,5,4
Gaston Biraben,1,3,3
Andrei Tarkovsky,12,8,22
Krzysztof Krauze,12,21,29
Mira Nair,25,24,31
Rajiv Menon,3,3,3
Jonathan Barré,10,0,0
Jean Benoît-Lévy,103,3,1
Kim Ki-duk,24,47,60
David Salle,1,1,0
Lewis Milestone,53,5,4
Mary Agnes Donoghue,2,0,0
Sergei Bodrov,23,8,15
Bill Paxton,5,23,10
Mijke de Jong,22,18,16
"""Pat OConnor""",15,2,3
David Fincher,84,112,66
Indar Dzhendubaev,2,0,0
Guillermo del Toro,21,117,90
Adam McKay,23,31,23
S. Lee Pogostin,2,2,1
Monteith McCollum,8,1,10
James Marsh,18,27,26
Arthur Berthelet,21,0,0
Jeff Baena,3,9,0
Reverge Anselmo,3,1,1
Michael Cooney,3,2,0
Agnès Jaoui,5,15,22
Rohan Sippy,6,0,0
 Yeon Sang-Ho,10,15,24
Costa-Gavras,25,29,32
Sam Miller,34,3,1
Eric Steven Stahl,5,0,0
David Jacobson,5,3,0
Frank Tashlin,77,3,0
Thea Sharrock,5,2,1
Eduardo Villanueva Jiménez,2,2,1
Declan Lowney,51,8,3
Scott Marshall,13,1,1
Vyacheslav Kaminsky,2,0,0
Rodrigo Cortés,11,13,12
Ryan Murphy,18,64,22
Aleksandr Kott,26,22,24
Aditya Chopra,4,22,19
Roger Corman,56,3,27
Rob Zombie,21,6,6
Chris Rock,6,67,19
Jack Hofsiss,9,2,0
David Winters,22,6,6
Edgar Wright,24,32,13
Martin Scorsese,61,214,142
Sylvio Tabet,1,0,0
Lynne Ramsay,8,40,34
Harry Baweja,13,0,0
Pierre Coffin,8,23,1
Aleksandr Dovzhenko,16,1,3
Anthony Leonardi III,6,0,0
George Tillman,13,10,4
Feng Xiaogang,19,32,41
Cedric Nicolas-Troyan,3,4,1
Gabriel Range,10,4,3
Clarence Brown,53,8,8
Elliot Silverstein,36,2,4
Travis Cluff,4,0,0
Lawrence Guterman,9,1,1
Josh Becker,26,1,2
Kevin Allen,9,3,0
David Moreton,3,3,3
Nancy Walker,6,15,4
Tommy Lee Wallace,23,2,1
Krish (Radhakrishna Jagarlamudi),11,4,4
Myles Berkowitz,1,1,1
Steve Gordon,2,2,2
David R. Ellis,7,1,1
Paweł Pawlikowski,13,43,55
Jonathan Frakes,41,4,1
Oleg Stepchenko,4,0,0
Sutton Roley,61,0,0
Ken Annakin,54,3,2
Colin Strause,12,5,1
Andy Cadiff,72,1,1
José Luis Cuerda,21,14,14
Todd Lincoln ,7,0,0
Khyentse Norbu,4,8,12
Cecil M. Hepworth,134,0,0
Hue Rhodes,3,1,0
S.S. Rajamouli,12,7,20
George Mendeluk,72,2,0
Richard J. Lewis,32,9,8
Jim Kohlberg,1,1,0
William Eubank,5,1,1
Julie Anne Robinson,42,5,1
Mitch Davis,5,1,1
Jalmari Helander,12,2,6
Alan Cohn,9,1,0
Shona Auerbach,3,7,9
William Gazecki,7,5,5
Benh Zeitlin,6,45,61
Jason Stone,9,1,2
Barry Levinson,40,46,29
Hironobu Sakaguchi,10,1,1
Yvette Kaplan,10,2,1
Bronwen Hughes,33,3,1
Michael Sarne,7,2,2
Nash Edgerton,18,22,47
Ryan Fleck,16,11,18
Edwin L. Marin,58,1,0
Jeff Nichols,6,33,23
Georges Méliès,534,0,0
Peter Sattler,3,3,0
Morgan Spurlock,22,19,12
Ovidio G. Assonitis,6,0,0
Lauren Himmel,2,1,5
Oliver Stone,31,57,61
Bob Weinstein,1,18,30
Jim Issa,4,0,0
Craig R. Baxley,33,1,1
José Corbacho,13,6,7
Christian Keller,1,2,0
Keith Gordon,26,5,2
Bruce Campbell,7,8,11
David M. Rosenthal,10,1,2
Charlotte Boisson,1,0,0
Jocelyn Moorhouse,6,6,10
Harmony Korine,27,9,9
Henry Selick,12,15,9
Valery Todorovsky,10,32,21
José Ramón Novoa,7,6,18
John Bonito,2,0,0
Gary Hardwick,4,4,1
Judd Apatow,19,33,17
Alan J. Pakula,16,12,14
Molly Smith,4,4,0
Richard Ciupka,12,8,2
Robert D. Siegel,2,11,3
Kim Nguyen,13,14,11
Jan de Bont,5,8,1
Vijay Krishna Acharya,4,3,1
Francis Veber,12,6,3
Harry Winer,49,1,0
Lance Daly,6,7,5
Timur Bekmambetov,17,18,7
Gary Winick,12,3,6
Kasi Lemmons,9,5,8
Kriv Stenders,19,12,9
Jan Ole Gerster,3,10,16
Martin Campbell,34,2,3
John Cameron Mitchell,10,34,28
Frank LaLoggia,3,1,0
Eran Riklis,21,18,20
Franck Khalfoun,8,2,1
Julien Temple,170,12,9
Elliott Lester,13,3,1
Alex Proyas,26,7,6
Ding Sheng,8,1,1
Zach Braff,9,43,14
Kevin Connor,77,2,2
Trey Parker,15,24,21
Leigh Whannell,2,7,5
Ernie Barbarash,21,0,0
Yeşim Ustaoğlu,11,13,22
Norio Tsuruta,29,1,0
Jennifer Yuh Nelson,4,7,5
Piotr Dumala,14,9,22
Aleksi Mäkelä,36,5,5
Danny DeVito,23,39,14
Gareth Edwards,7,13,14
Julian Gilbey,8,2,5
Tyler Perry,46,41,13
Eytan Fox,12,6,14
Stephen Elliott,1,0,0
Peter Atencio,27,4,4
Joe Berlinger,49,30,78
Ed Bianchi,40,6,2
Dave Willis,16,2,0
Jon Avnet,25,10,7
Nicholas Ray,31,5,2
Tom Shadyac,12,2,2
John Flynn,16,0,0
Harold Cronk,10,1,1
Amy Heckerling,19,2,3
Karey Kirkpatrick,3,7,2
Tim Heidecker,36,1,1
Justin Tipping,5,3,7
Clint Eastwood,40,162,148
David Cronenberg,42,67,69
Florian Henckel von Donnersmarck,7,12,59
Maximilian Erlenwein,4,4,2
Rajkumar Hirani,5,16,38
John Erman,66,12,5
Patrick Jean,6,1,1
Jim Sonzero,7,0,0
Clark Johnson,65,13,3
John Huston,47,66,40
Ronny Yu,21,7,4
Katt Shea,12,1,0
Robin Budd,7,1,2
Tom Vaughan,25,4,1
Agnieszka Wojtowicz-Vosloo,2,8,8
Gauri Shinde,4,8,3
Catherine Hardwicke,18,13,10
Mark DiSalle,2,0,0
Shinji Aramaki,15,2,0
Florent-Emilio Siri,9,1,2
Rob Cohen,26,3,1
Joshua Seftel,21,8,12
Jonathan Liebesman,9,3,2
Pa. Ranjith,4,2,1
Yorgos Lanthimos,11,63,38
Tate Taylor,10,18,14
James Melkonian,3,0,0
Simon West,20,2,2
James Gray,10,28,5
Kay Pollak,7,9,3
Vincent Gallo,10,15,7
John Simpson,1,0,0
Marina Sargenti,6,0,0
Dibakar Banerjee,8,3,1
Dylan Bank,10,2,2
Mort Nathan,4,6,3
Maggie Carey,24,2,2
Eric Blakeney,2,1,0
Ralph Fiennes,3,104,40
Glenn Gordon Caron,9,5,5
D.W. Griffith,519,4,4
Tadayoshi Yamamuro,1,0,0
Rod Lurie,19,2,4
Sergey Bondarchuk,13,4,9
Kurt Neumann,68,2,0
Bonnie Hunt,4,14,7
Ted Koland,1,0,0
Mark Griffiths,30,2,2
Melvin Van Peebles,17,11,11
Stuart Townsend,1,2,2
Richard Marquand,29,3,2
Michael Hofmann,4,3,2
Tom McGrath,9,11,3
Stephen Chbosky,4,20,8
Ang Lee,18,96,103
McG,40,1,2
Stephan Elliott,10,10,7
Chris Jaymes,12,4,4
Daniel Benmayor,4,1,0
Malcolm Mowbray,13,2,1
Peter Werner,96,8,1
John Terlesky,41,0,0
Chris Kentis,3,0,0
Jonathan Mostow,12,2,1
Michael Mann,22,36,21
Olly Blackburn,12,1,0
Oren Peli,2,2,1
John Gulager,7,1,1
Greg Harrison,2,2,0
Sebastian Gutierrez,9,5,1
Eleanor Coppola,9,3,1
Vic Armstrong,5,7,3
Eric Darnell,11,3,1
Tomas Alfredson,27,28,40
David Raynr,7,0,0
David Schwimmer,11,21,5
Trey Nelson,24,0,0
Vincent Pérez,1,0,0
Alex Rivera,5,7,5
Sean Penn,13,108,73
Lili Fini Zanuck,4,7,3
Robert Rodriguez,43,28,38
Stanley Tong,13,8,3
Simon Jaquemet,7,7,2
Cecil B. DeMille,80,6,15
Peter Hyams,24,7,1
John Boorman,31,37,27
Michael Lange,94,1,0
Stephen St. Leger,3,2,1
Kyle Balda,12,2,1
Rezo Gigineishvili,8,6,2
Troy Duffy,3,0,0
James B. Clark,37,3,3
Simon Curtis,22,17,4
Nick Ormerod,2,0,0
John Fortenberry,116,8,2
Joachim Trier,8,32,32
Sangyoon Lim,1,0,0
Rian Johnson,13,36,21
Tinto Brass,33,5,3
Scott Speer,23,0,0
Abe Sylvia,6,0,0
Scott Cooper,5,7,3
Gilbert Cates,35,18,8
Komkris Triwimol,1,0,0
Wesley Ruggles,83,2,2
Boris von Sychowski,4,0,0
Rick Famuyiwa,10,12,5
Colin Lowrey,43,3,6
Agnieszka Smoczynska,15,19,27
Andrew Adamson,8,22,8
Adam Wingard,21,16,6
Jean Cocteau,11,4,2
Vincent McEveety,79,1,1
Pupi Avati,51,48,25
Bill Muir,1,1,0
Thaddaeus Scheel,1,0,0
Joe Nussbaum,20,1,5
Mikkel Brænne Sandemose,5,0,0
Jon Lucas,4,2,3
Robert Stevenson,62,7,4
Dmitri Meskhiyev,1,0,0
Pavel Sanaev,6,1,0
Srđan Dragojević,11,3,14
Randall Wallace,5,5,6
Paul Schrader,23,26,23
Steve Trenbirth,7,0,0
Joel Gallen,98,21,6
Patty Jenkins,13,14,12
Lisa Cholodenko,16,44,18
Paul Auster,4,4,4
William A. Graham,124,4,1
Noel Marshall,1,0,0
Patrick Creadon,11,3,2
Charlie Levi,1,0,0
Mario Van Peebles,43,13,7
Patrick Tatopoulos,5,1,2
Šarūnas Bartas,13,21,11
Craig Gillespie,11,10,5
Diane English,2,11,6
Gad Elmaleh,2,1,1
Vincente Minnelli,40,19,7
Zeki Demirkubuz,13,12,38
Damien Dante Wayans,3,2,0
Tsai Ming-liang,33,55,57
Jun Lana,40,36,24
Alex van Warmerdam,11,52,21
Mona Lerche,1,3,0
Hideo Nakata,33,6,10
